"No","FXY","ElementName_en","CodeFigure","EntryName_en","EntryName_sub1_en","EntryName_sub2_en","Note_en","Status"
586.00,"002037","Method of tidal observation","6","Reserved",,,,"Operational"
587.00,"002037","Method of tidal observation","7","Missing value",,,,"Operational"
588.00,"002038","Method of water temperature and/or salinity measurement","0","Ship intake",,,,"Operational"
589.00,"002038","Method of water temperature and/or salinity measurement","1","Bucket",,,,"Operational"
590.00,"002038","Method of water temperature and/or salinity measurement","2","Hull contact sensor",,,,"Operational"
591.00,"002038","Method of water temperature and/or salinity measurement","3","Reversing thermometer",,,,"Operational"
592.00,"002038","Method of water temperature and/or salinity measurement","4","STD/CTD sensor",,,,"Operational"
593.00,"002038","Method of water temperature and/or salinity measurement","5","Mechanical BT",,,,"Operational"
594.00,"002038","Method of water temperature and/or salinity measurement","6","Expendable BT",,,,"Operational"
595.00,"002038","Method of water temperature and/or salinity measurement","7","Digital BT",,,,"Operational"
596.00,"002038","Method of water temperature and/or salinity measurement","8","Thermistor chain",,,,"Operational"
597.00,"002038","Method of water temperature and/or salinity measurement","9","Infrared scanner",,,,"Operational"
598.00,"002038","Method of water temperature and/or salinity measurement","10","Microwave scanner",,,,"Operational"
599.00,"002038","Method of water temperature and/or salinity measurement","11","Infrared radiometer",,,,"Operational"
600.00,"002038","Method of water temperature and/or salinity measurement","12","In-line thermosalinograph",,,,"Operational"
601.00,"002038","Method of water temperature and/or salinity measurement","13","Towed body",,,,"Operational"
602.00,"002038","Method of water temperature and/or salinity measurement","14","Other",,,,"Operational"
603.00,"002038","Method of water temperature and/or salinity measurement","15","Missing value",,,,"Operational"
604.00,"002039","Method of wet-bulb temperature measurement","0","Measured wet-bulb temperature",,,,"Operational"
605.00,"002039","Method of wet-bulb temperature measurement","1","Iced bulb measured wet-bulb temperature",,,,"Operational"
606.00,"002039","Method of wet-bulb temperature measurement","2","Computed wet-bulb temperature",,,,"Operational"
607.00,"002039","Method of wet-bulb temperature measurement","3","Iced bulb computed wet-bulb temperature",,,,"Operational"
608.00,"002039","Method of wet-bulb temperature measurement","4-6","Reserved",,,,"Operational"
609.00,"002039","Method of wet-bulb temperature measurement","7","Missing value",,,,"Operational"
610.00,"002040","Method of removing velocity and motion of platform from current","0","Ship's motion removed by averaging","Ship's velocity removed by bottom tracking",,,"Operational"
611.00,"002040","Method of removing velocity and motion of platform from current","1","Ship's motion removed by motion compensation","Ship's velocity removed by bottom tracking",,,"Operational"
612.00,"002040","Method of removing velocity and motion of platform from current","2","Ship's motion not removed","Ship's velocity removed by bottom tracking",,,"Operational"
613.00,"002040","Method of removing velocity and motion of platform from current","3","Ship's motion removed by averaging","Ship's velocity removed by navigation",,,"Operational"
614.00,"002040","Method of removing velocity and motion of platform from current","4","Ship's motion removed by motion compensation","Ship's velocity removed by navigation",,,"Operational"
615.00,"002040","Method of removing velocity and motion of platform from current","5","Ship's motion not removed","Ship's velocity removed by navigation",,,"Operational"
616.00,"002040","Method of removing velocity and motion of platform from current","6","Doppler current profiling method not used",,,,"Operational"
617.00,"002040","Method of removing velocity and motion of platform from current","7-14","Reserved",,,,"Operational"
618.00,"002040","Method of removing velocity and motion of platform from current","15","Missing value",,,,"Operational"
619.00,"002041","Method for estimating reports related to synoptic features","0","Information based on manual analysis",,,,"Operational"
620.00,"002041","Method for estimating reports related to synoptic features","1","Information based on computer analysis",,,,"Operational"
621.00,"002041","Method for estimating reports related to synoptic features","2","Information based on data assimilation",,,,"Operational"
622.00,"002041","Method for estimating reports related to synoptic features","3","Information based on computer analysis or data assimilation manually modified",,,,"Operational"
623.00,"002041","Method for estimating reports related to synoptic features","4-9","Reserved",,,,"Operational"
624.00,"002041","Method for estimating reports related to synoptic features","10","Information based on the numerical weather prediction",,,,"Operational"
625.00,"002041","Method for estimating reports related to synoptic features","11-62","Reserved for future use",,,,"Operational"
626.00,"002041","Method for estimating reports related to synoptic features","63","Missing value",,,,"Operational"
627.00,"002042","Indicator for sea-surface current speed","0","Value originally reported in m/s",,,,"Operational"
628.00,"002042","Indicator for sea-surface current speed","1","Value originally reported in knots",,,,"Operational"
629.00,"002042","Indicator for sea-surface current speed","2","No sea current data available",,,,"Operational"
630.00,"002042","Indicator for sea-surface current speed","3","Missing value",,,,"Operational"
631.00,"002044","Indicator for method of calculating spectral wave data","0","Reserved for future use",,,,"Operational"
632.00,"002044","Indicator for method of calculating spectral wave data","1","Longuet-Higgins (1964)",,,,"Operational"
633.00,"002044","Indicator for method of calculating spectral wave data","2","Longuet-Higgins (F3 method)",,,,"Operational"
634.00,"002044","Indicator for method of calculating spectral wave data","3","Maximum likelihood method",,,,"Operational"
635.00,"002044","Indicator for method of calculating spectral wave data","4","Maximum entropy method",,,,"Operational"
636.00,"002044","Indicator for method of calculating spectral wave data","5-14","Reserved",,,,"Operational"
637.00,"002044","Indicator for method of calculating spectral wave data","15","Missing value",,,,"Operational"
638.00,"002045","Indicator for type of platform","0","Sea station",,,,"Operational"
639.00,"002045","Indicator for type of platform","1","Automatic data buoy",,,,"Operational"
640.00,"002045","Indicator for type of platform","2","Aircraft",,,,"Operational"
641.00,"002045","Indicator for type of platform","3","Satellite",,,,"Operational"
642.00,"002045","Indicator for type of platform","4-14","Reserved",,,,"Operational"
643.00,"002045","Indicator for type of platform","15","Missing value",,,,"Operational"
644.00,"002046","Wave measurement instrumentation","0","Reserved for future use",,,,"Operational"
645.00,"002046","Wave measurement instrumentation","1","Heave sensor",,,,"Operational"
646.00,"002046","Wave measurement instrumentation","2","Slope sensor",,,,"Operational"
647.00,"002046","Wave measurement instrumentation","3-14","Reserved",,,,"Operational"
648.00,"002046","Wave measurement instrumentation","15","Missing value",,,,"Operational"
649.00,"002047","Deep-ocean tsunameter type","0","Reserved",,,,"Operational"
650.00,"002047","Deep-ocean tsunameter type","1","DART II (PMEL)",,,,"Operational"
651.00,"002047","Deep-ocean tsunameter type","2","DART ETD",,,,"Operational"
652.00,"002047","Deep-ocean tsunameter type","3","SAIC Tsunami Buoy (STB)",,,,"Operational"
653.00,"002047","Deep-ocean tsunameter type","4","GFZ - Potsdam",,,,"Operational"
654.00,"002047","Deep-ocean tsunameter type","5","INCOIS (India)",,,,"Operational"
655.00,"002047","Deep-ocean tsunameter type","6","InaBuoy (Indonesia)",,,,"Operational"
656.00,"002047","Deep-ocean tsunameter type","7","Envirtech",,,,"Operational"
657.00,"002047","Deep-ocean tsunameter type","8-99","Reserved",,,,"Operational"
658.00,"002047","Deep-ocean tsunameter type","100-126","Not used",,,,"Operational"
659.00,"002047","Deep-ocean tsunameter type","127","Missing value",,,,"Operational"
660.00,"002048","Satellite sensor indicator","0","HIRS",,,,"Operational"
661.00,"002048","Satellite sensor indicator","1","MSU",,,,"Operational"
662.00,"002048","Satellite sensor indicator","2","SSU",,,,"Operational"
663.00,"002048","Satellite sensor indicator","3","AMSU-A",,,,"Operational"
664.00,"002048","Satellite sensor indicator","4","AMSU-B",,,,"Operational"
665.00,"002048","Satellite sensor indicator","5","AVHRR",,,,"Operational"
666.00,"002048","Satellite sensor indicator","6","SSMI",,,,"Operational"
667.00,"002048","Satellite sensor indicator","7","NSCAT",,,,"Operational"
668.00,"002048","Satellite sensor indicator","8","SEAWINDS",,,,"Operational"
669.00,"002048","Satellite sensor indicator","9","POSEIDON altimeter",,,,"Operational"
670.00,"002048","Satellite sensor indicator","10","JMR (JASON Microwave Radiometer)",,,,"Operational"
671.00,"002048","Satellite sensor indicator","11","MHS",,,,"Operational"
672.00,"002048","Satellite sensor indicator","12","ASCAT",,,,"Operational"
673.00,"002048","Satellite sensor indicator","13-14","Reserved",,,,"Operational"
674.00,"002048","Satellite sensor indicator","15","Missing value",,,,"Operational"
675.00,"002049","Geostationary satellite data-processing technique used","1","Processing technique not defined",,,,"Operational"
676.00,"002049","Geostationary satellite data-processing technique used","2","Simultaneous physical retrieval",,,,"Operational"
677.00,"002049","Geostationary satellite data-processing technique used","3","Clear sounding",,,,"Operational"
678.00,"002049","Geostationary satellite data-processing technique used","4","Cloudy sounding",,,,"Operational"
679.00,"002049","Geostationary satellite data-processing technique used","5-7","Reserved for future use",,,,"Operational"
680.00,"002049","Geostationary satellite data-processing technique used","All 8","Missing value",,,,"Operational"
681.00,"002050","Geostationary sounder satellite channels used","1","1","14.71",,,"Operational"
682.00,"002050","Geostationary sounder satellite channels used","2","2","14.37",,,"Operational"
683.00,"002050","Geostationary sounder satellite channels used","3","3","14.06",,,"Operational"
684.00,"002050","Geostationary sounder satellite channels used","4","4","13.64",,,"Operational"
685.00,"002050","Geostationary sounder satellite channels used","5","5","13.37",,,"Operational"
686.00,"002050","Geostationary sounder satellite channels used","6","6","12.66",,,"Operational"
687.00,"002050","Geostationary sounder satellite channels used","7","7","12.02",,,"Operational"
688.00,"002050","Geostationary sounder satellite channels used","8","8","11.03",,,"Operational"
689.00,"002050","Geostationary sounder satellite channels used","9","9","9.71",,,"Operational"
690.00,"002050","Geostationary sounder satellite channels used","10","10","7.43",,,"Operational"
691.00,"002050","Geostationary sounder satellite channels used","11","11","7.02",,,"Operational"
692.00,"002050","Geostationary sounder satellite channels used","12","12","6.51",,,"Operational"
693.00,"002050","Geostationary sounder satellite channels used","13","13","4.57",,,"Operational"
694.00,"002050","Geostationary sounder satellite channels used","14","14","4.52",,,"Operational"
695.00,"002050","Geostationary sounder satellite channels used","15","15","4.45",,,"Operational"
696.00,"002050","Geostationary sounder satellite channels used","16","16","4.13",,,"Operational"
697.00,"002050","Geostationary sounder satellite channels used","17","17","3.98",,,"Operational"
698.00,"002050","Geostationary sounder satellite channels used","18","18","3.74",,,"Operational"
699.00,"002050","Geostationary sounder satellite channels used","19","19","0.969",,,"Operational"
700.00,"002050","Geostationary sounder satellite channels used","All 20","Missing value",,,,"Operational"
701.00,"002051","Indicator to specify observing method for extreme temperatures","0","Reserved",,,,"Operational"
702.00,"002051","Indicator to specify observing method for extreme temperatures","1","Maximum/minimum thermometers",,,,"Operational"
703.00,"002051","Indicator to specify observing method for extreme temperatures","2","Automated instruments",,,,"Operational"
704.00,"002051","Indicator to specify observing method for extreme temperatures","3","Thermograph",,,,"Operational"
705.00,"002051","Indicator to specify observing method for extreme temperatures","4-14","Reserved",,,,"Operational"
706.00,"002051","Indicator to specify observing method for extreme temperatures","15","Missing value",,,,"Operational"
707.00,"002052","Geostationary imager satellite channels used","1","1","0.55 - 0.75",,,"Operational"
708.00,"002052","Geostationary imager satellite channels used","2","2","3.9",,,"Operational"
709.00,"002052","Geostationary imager satellite channels used","3","3","6.7",,,"Operational"
710.00,"002052","Geostationary imager satellite channels used","4","4","10.7",,,"Operational"
711.00,"002052","Geostationary imager satellite channels used","5","5","12.0",,,"Operational"
712.00,"002052","Geostationary imager satellite channels used","All 6","Missing value",,,,"Operational"
713.00,"002053","GOES-I/M brightness temperature characteristics","0","Observed brightness temperature",,,,"Operational"
714.00,"002053","GOES-I/M brightness temperature characteristics","1","Brightness temperature with bias correction applied",,,,"Operational"
715.00,"002053","GOES-I/M brightness temperature characteristics","2","Brightness temperature calculated from first guess",,,,"Operational"
716.00,"002053","GOES-I/M brightness temperature characteristics","3","Brightness temperature calculated from sounding",,,,"Operational"
717.00,"002053","GOES-I/M brightness temperature characteristics","4-14","Reserved",,,,"Operational"
718.00,"002053","GOES-I/M brightness temperature characteristics","15","Missing value",,,,"Operational"
719.00,"002054","GOES-I/M soundings parameter characteristics","0","Parameter derived using observed sounder brightness temperatures",,,,"Operational"
720.00,"002054","GOES-I/M soundings parameter characteristics","1","Parameter derived using observed imager brightness temperatures",,,,"Operational"
721.00,"002054","GOES-I/M soundings parameter characteristics","2","Parameter derived using first guess information",,,,"Operational"
722.00,"002054","GOES-I/M soundings parameter characteristics","3","Parameter derived using NMC analysis information",,,,"Operational"
723.00,"002054","GOES-I/M soundings parameter characteristics","4","Parameter derived using radiosonde information",,,,"Operational"
724.00,"002054","GOES-I/M soundings parameter characteristics","5-14","Reserved",,,,"Operational"
725.00,"002054","GOES-I/M soundings parameter characteristics","15","Missing value",,,,"Operational"
726.00,"002055","Geostationary soundings statistical parameters","0","Statistics generated comparing retrieval versus radiosonde",,,,"Operational"
727.00,"002055","Geostationary soundings statistical parameters","1","Statistics generated comparing retrieval versus first guess",,,,"Operational"
728.00,"002055","Geostationary soundings statistical parameters","2","Statistics generated comparing radiosonde versus first guess",,,,"Operational"
729.00,"002055","Geostationary soundings statistical parameters","3","Statistics generated comparing observed versus retrieval",,,,"Operational"
730.00,"002055","Geostationary soundings statistical parameters","4","Statistics generated comparing observed versus first guess",,,,"Operational"
731.00,"002055","Geostationary soundings statistical parameters","5","Statistics generated comparing radiosonde versus imager",,,,"Operational"
732.00,"002055","Geostationary soundings statistical parameters","6","Statistics generated comparing radiosonde versus sounder",,,,"Operational"
733.00,"002055","Geostationary soundings statistical parameters","7","Statistics generated for radiosonde",,,,"Operational"
734.00,"002055","Geostationary soundings statistical parameters","8","Statistics generated for first guess",,,,"Operational"
735.00,"002055","Geostationary soundings statistical parameters","9-14","Reserved",,,,"Operational"
736.00,"002055","Geostationary soundings statistical parameters","15","Missing value",,,,"Operational"
737.00,"002056","Geostationary soundings accuracy statistics","0","Sums of differences",,,,"Operational"
738.00,"002056","Geostationary soundings accuracy statistics","1","Sums of squared differences",,,,"Operational"
739.00,"002056","Geostationary soundings accuracy statistics","2","Sample size",,,,"Operational"
740.00,"002056","Geostationary soundings accuracy statistics","3","Minimum difference",,,,"Operational"
741.00,"002056","Geostationary soundings accuracy statistics","4","Maximum difference",,,,"Operational"
742.00,"002056","Geostationary soundings accuracy statistics","5-14","Reserved",,,,"Operational"
743.00,"002056","Geostationary soundings accuracy statistics","15","Missing value",,,,"Operational"
744.00,"002057","Origin of first-guess information for GOES-I/M soundings","0","Nested Grid Model (NGM)",,,,"Operational"
745.00,"002057","Origin of first-guess information for GOES-I/M soundings","1","Aviation Model (AVN)",,,,"Operational"
746.00,"002057","Origin of first-guess information for GOES-I/M soundings","2","Medium Range Forecast (MRF) Model",,,,"Operational"
747.00,"002057","Origin of first-guess information for GOES-I/M soundings","3","Global Data Assimilation System (GDAS) Forecast Model",,,,"Operational"
748.00,"002057","Origin of first-guess information for GOES-I/M soundings","4","Prior soundings (within 3 hours of current time)",,,,"Operational"
749.00,"002057","Origin of first-guess information for GOES-I/M soundings","5","Climatology",,,,"Operational"
750.00,"002057","Origin of first-guess information for GOES-I/M soundings","6-14","Reserved",,,,"Operational"
751.00,"002057","Origin of first-guess information for GOES-I/M soundings","15","Missing value",,,,"Operational"
752.00,"002058","Valid times of first-guess information for GOES-I/M soundings","0","12 hour and 18 hour",,,,"Operational"
753.00,"002058","Valid times of first-guess information for GOES-I/M soundings","1","18 hour and 24 hour",,,,"Operational"
754.00,"002058","Valid times of first-guess information for GOES-I/M soundings","2","6 hour and 12 hour",,,,"Operational"
755.00,"002058","Valid times of first-guess information for GOES-I/M soundings","3","Greater than 24 hours",,,,"Operational"
756.00,"002058","Valid times of first-guess information for GOES-I/M soundings","4-14","Reserved",,,,"Operational"
757.00,"002058","Valid times of first-guess information for GOES-I/M soundings","15","Missing value",,,,"Operational"
758.00,"002059","Origin of analysis information for GOES-I/M soundings","0","NCEP Nested Grid Model (NGM) Analysis",,,,"Operational"
759.00,"002059","Origin of analysis information for GOES-I/M soundings","1","NCEP Aviation Model (AVN) Analysis",,,,"Operational"
760.00,"002059","Origin of analysis information for GOES-I/M soundings","2","NCEP Medium Range Forecast (MRF) Model Analysis",,,,"Operational"
761.00,"002059","Origin of analysis information for GOES-I/M soundings","3","NCEP Global Data Assimilation System (GDAS) Forecast Model Analysis",,,,"Operational"
762.00,"002059","Origin of analysis information for GOES-I/M soundings","4-14","Reserved",,,,"Operational"
763.00,"002059","Origin of analysis information for GOES-I/M soundings","15","Missing value",,,,"Operational"
764.00,"002060","Origin of surface information for GOES-I/M soundings","0","Current surface hourly reports",,,,"Operational"
765.00,"002060","Origin of surface information for GOES-I/M soundings","1","Current ship reports",,,,"Operational"
766.00,"002060","Origin of surface information for GOES-I/M soundings","2","Current buoy reports",,,,"Operational"
767.00,"002060","Origin of surface information for GOES-I/M soundings","3","One hour old surface hourly reports",,,,"Operational"
768.00,"002060","Origin of surface information for GOES-I/M soundings","4","One hour old ship reports",,,,"Operational"
769.00,"002060","Origin of surface information for GOES-I/M soundings","5","One hour old buoy reports",,,,"Operational"
770.00,"002060","Origin of surface information for GOES-I/M soundings","6-14","Reserved",,,,"Operational"
771.00,"002060","Origin of surface information for GOES-I/M soundings","15","Missing value",,,,"Operational"
772.00,"002061","Aircraft navigational system","0","Inertial navigation system",,,,"Operational"
773.00,"002061","Aircraft navigational system","1","OMEGA",,,,"Operational"
774.00,"002061","Aircraft navigational system","2-6","Reserved",,,,"Operational"
775.00,"002061","Aircraft navigational system","7","Missing value",,,,"Operational"
776.00,"002062","Type of aircraft data relay system","0","ASDAR",,,,"Operational"
777.00,"002062","Type of aircraft data relay system","1","ASDAR (ACARS also available but not operative)",,,,"Operational"
778.00,"002062","Type of aircraft data relay system","2","ASDAR (ACARS also available and operative)",,,,"Operational"
779.00,"002062","Type of aircraft data relay system","3","ACARS",,,,"Operational"
780.00,"002062","Type of aircraft data relay system","4","ACARS (ASDAR also available but not operative)",,,,"Operational"
781.00,"002062","Type of aircraft data relay system","5","ACARS (ASDAR also available and operative)",,,,"Operational"
782.00,"002062","Type of aircraft data relay system","6-14","Reserved",,,,"Operational"
783.00,"002062","Type of aircraft data relay system","15","Missing value",,,,"Operational"
784.00,"002064","Aircraft roll angle quality","0","Good",,,,"Operational"
785.00,"002064","Aircraft roll angle quality","1","Bad",,,,"Operational"
786.00,"002064","Aircraft roll angle quality","2","Reserved",,,,"Operational"
787.00,"002064","Aircraft roll angle quality","3","Missing value",,,,"Operational"
788.00,"002066","Radiosonde ground receiving system","0","InterMet IMS 2000",,,,"Operational"
789.00,"002066","Radiosonde ground receiving system","1","InterMet IMS 1500C",,,,"Operational"
790.00,"002066","Radiosonde ground receiving system","2","Shanghai GTC1",,,,"Operational"
791.00,"002066","Radiosonde ground receiving system","3","Nanjing GTC2",,,,"Operational"
792.00,"002066","Radiosonde ground receiving system","4","Nanjing GFE(L)1",,,,"Operational"
793.00,"002066","Radiosonde ground receiving system","5","MARL-A radar",,,,"Operational"
794.00,"002066","Radiosonde ground receiving system","6","VEKTOR-M radar",,,,"Operational"
795.00,"002066","Radiosonde ground receiving system","7-61","Reserved",,,,"Operational"
796.00,"002066","Radiosonde ground receiving system","62","Other",,,,"Operational"
797.00,"002066","Radiosonde ground receiving system","63","Missing value",,,,"Operational"
798.00,"002070","Original specification of latitude/longitude","0","Actual location in seconds",,,,"Operational"
799.00,"002070","Original specification of latitude/longitude","1","Actual location in minutes",,,,"Operational"
800.00,"002070","Original specification of latitude/longitude","2","Actual location in degrees",,,,"Operational"
801.00,"002070","Original specification of latitude/longitude","3","Actual location in decidegrees",,,,"Operational"
802.00,"002070","Original specification of latitude/longitude","4","Actual location in centidegrees",,,,"Operational"
803.00,"002070","Original specification of latitude/longitude","5","Referenced to checkpoint in seconds",,,,"Operational"
804.00,"002070","Original specification of latitude/longitude","6","Referenced to checkpoint in minutes",,,,"Operational"
805.00,"002070","Original specification of latitude/longitude","7","Referenced to checkpoint in degrees",,,,"Operational"
806.00,"002070","Original specification of latitude/longitude","8","Referenced to checkpoint in decidegrees",,,,"Operational"
807.00,"002070","Original specification of latitude/longitude","9","Referenced to checkpoint in centidegrees",,,,"Operational"
808.00,"002070","Original specification of latitude/longitude","10","Actual location in tenths of a minute",,,,"Operational"
809.00,"002070","Original specification of latitude/longitude","11","Referenced to checkpoint in tenths of a minute",,,,"Operational"
810.00,"002070","Original specification of latitude/longitude","12-14","Reserved",,,,"Operational"
811.00,"002070","Original specification of latitude/longitude","15","Missing value",,,,"Operational"
812.00,"002080","Balloon manufacturer","0","Kaysam",,,,"Operational"
813.00,"002080","Balloon manufacturer","1","Totex",,,,"Operational"
814.00,"002080","Balloon manufacturer","2","KKS",,,,"Operational"
815.00,"002080","Balloon manufacturer","3","Guangzhou Shuangyi (China)",,,,"Operational"
816.00,"002080","Balloon manufacturer","4","ChemChina Zhuzhou (China)",,,,"Operational"
817.00,"002080","Balloon manufacturer","5-61","Reserved",,,,"Operational"
818.00,"002080","Balloon manufacturer","62","Other",,,,"Operational"
819.00,"002080","Balloon manufacturer","63","Missing value",,,,"Operational"
820.00,"002081","Type of balloon","0","GP26",,,,"Operational"
821.00,"002081","Type of balloon","1","GP28",,,,"Operational"
822.00,"002081","Type of balloon","2","GP30",,,,"Operational"
823.00,"002081","Type of balloon","3","HM26",,,,"Operational"
824.00,"002081","Type of balloon","4","HM28",,,,"Operational"
825.00,"002081","Type of balloon","5","HM30",,,,"Operational"
826.00,"002081","Type of balloon","6","SV16",,,,"Operational"
827.00,"002081","Type of balloon","7","Totex TA type balloons",,,,"Operational"
828.00,"002081","Type of balloon","8","Totex TX type balloons",,,,"Operational"
829.00,"002081","Type of balloon","9-29","Reserved",,,,"Operational"
830.00,"002081","Type of balloon","30","Other",,,,"Operational"
831.00,"002081","Type of balloon","31","Missing value",,,,"Operational"
832.00,"002083","Type of balloon shelter","0","High bay",,,,"Operational"
833.00,"002083","Type of balloon shelter","1","Low bay",,,,"Operational"
834.00,"002083","Type of balloon shelter","2","Balloon-inflated launch system (BILS)",,,,"Operational"
835.00,"002083","Type of balloon shelter","3","Roof-top BILS",,,,"Operational"
836.00,"002083","Type of balloon shelter","4","Automated unmanned sounding system",,,,"Operational"
837.00,"002083","Type of balloon shelter","5-13","Reserved",,,,"Operational"
838.00,"002083","Type of balloon shelter","14","Other",,,,"Operational"
839.00,"002083","Type of balloon shelter","15","Missing value",,,,"Operational"
840.00,"002084","Type of gas used in balloon","0","Hydrogen",,,,"Operational"
841.00,"002084","Type of gas used in balloon","1","Helium",,,,"Operational"
842.00,"002084","Type of gas used in balloon","2","Natural gas",,,,"Operational"
843.00,"002084","Type of gas used in balloon","3-13","Reserved",,,,"Operational"
844.00,"002084","Type of gas used in balloon","14","Other",,,,"Operational"
845.00,"002084","Type of gas used in balloon","15","Missing value",,,,"Operational"
846.00,"002095","Type of pressure sensor","0","Capacitance aneroid",,,,"Operational"
847.00,"002095","Type of pressure sensor","1","Derived from GPS",,,,"Operational"
848.00,"002095","Type of pressure sensor","2","Resistive strain gauge",,,,"Operational"
849.00,"002095","Type of pressure sensor","3","Silicon capacitor",,,,"Operational"
850.00,"002095","Type of pressure sensor","4","Derived from radar height",,,,"Operational"
851.00,"002095","Type of pressure sensor","5-29","Reserved",,,,"Operational"
852.00,"002095","Type of pressure sensor","30","Other",,,,"Operational"
853.00,"002095","Type of pressure sensor","31","Missing value",,,,"Operational"
854.00,"002096","Type of temperature sensor","0","Rod thermistor",,,,"Operational"
855.00,"002096","Type of temperature sensor","1","Bead thermistor",,,,"Operational"
856.00,"002096","Type of temperature sensor","2","Capacitance bead",,,,"Operational"
857.00,"002096","Type of temperature sensor","3","Capacitance wire",,,,"Operational"
858.00,"002096","Type of temperature sensor","4","Resistive sensor",,,,"Operational"
859.00,"002096","Type of temperature sensor","5","Chip thermistor",,,,"Operational"
860.00,"002096","Type of temperature sensor","6","Mercury",,,,"Operational"
861.00,"002096","Type of temperature sensor","7","Alcohol/glycol",,,,"Operational"
862.00,"002096","Type of temperature sensor","8-30","Reserved (for future use)",,,,"Operational"
863.00,"002096","Type of temperature sensor","31","Missing value",,,,"Operational"
864.00,"002097","Type of humidity sensor","0","VIZ Mark II carbon hygristor",,,,"Operational"
865.00,"002097","Type of humidity sensor","1","VIZ B2 hygristor",,,,"Operational"
866.00,"002097","Type of humidity sensor","2","Vaisala A-Humicap",,,,"Operational"
867.00,"002097","Type of humidity sensor","3","Vaisala H-Humicap",,,,"Operational"
868.00,"002097","Type of humidity sensor","4","Capacitance sensor",,,,"Operational"
869.00,"002097","Type of humidity sensor","5","Vaisala RS90",,,,"Operational"
870.00,"002097","Type of humidity sensor","6","Sippican Mark IIA carbon hygristor",,,,"Operational"
871.00,"002097","Type of humidity sensor","7","Twin alternatively heated Humicap capacitance sensor",,,,"Operational"
872.00,"002097","Type of humidity sensor","8","Humicap capacitance sensor with active de-icing method",,,,"Operational"
873.00,"002097","Type of humidity sensor","9","Carbon hygristor",,,,"Operational"
874.00,"002097","Type of humidity sensor","10","Psychrometer",,,,"Operational"
875.00,"002097","Type of humidity sensor","11","Capacitive (polymer)",,,,"Operational"
876.00,"002097","Type of humidity sensor","12","Capacitive (ceramic, incl. metal oxide)",,,,"Operational"
877.00,"002097","Type of humidity sensor","13","Resistive (generic)",,,,"Operational"
878.00,"002097","Type of humidity sensor","14","Resistive (salt polymer)",,,,"Operational"
879.00,"002097","Type of humidity sensor","15","Resistive (conductive polymer)",,,,"Operational"
880.00,"002097","Type of humidity sensor","16","Thermal conductivity",,,,"Operational"
881.00,"002097","Type of humidity sensor","17","Gravimetric",,,,"Operational"
882.00,"002097","Type of humidity sensor","18","Paper-metal coil",,,,"Operational"
883.00,"002097","Type of humidity sensor","19","Ordinary human hair",,,,"Operational"
884.00,"002097","Type of humidity sensor","20","Rolled hair (torsion)",,,,"Operational"
885.00,"002097","Type of humidity sensor","21","Goldbeater's skin",,,,"Operational"
886.00,"002097","Type of humidity sensor","22","Chilled mirror hygrometer",,,,"Operational"
887.00,"002097","Type of humidity sensor","23","Dew cell",,,,"Operational"
888.00,"002097","Type of humidity sensor","24","Optical absorption sensor",,,,"Operational"
889.00,"002097","Type of humidity sensor","25-30","Reserved (for future use)",,,,"Operational"
890.00,"002097","Type of humidity sensor","31","Missing value",,,,"Operational"
891.00,"002099","Polarization","0","HH polarization",,,,"Operational"
892.00,"002099","Polarization","1","VV polarization",,,,"Operational"
893.00,"002099","Polarization","2","HV polarization real valued component",,,,"Operational"
894.00,"002099","Polarization","3","HV polarization imaginary valued component",,,,"Operational"
895.00,"002099","Polarization","4-6","Reserved",,,,"Operational"
896.00,"002099","Polarization","7","Missing value",,,,"Operational"
897.00,"002101","Type of antenna","0","Centre front-fed paraboloid",,,,"Operational"
898.00,"002101","Type of antenna","1","Offset front-fed paraboloid",,,,"Operational"
899.00,"002101","Type of antenna","2","Centre Cassegrain paraboloid",,,,"Operational"
900.00,"002101","Type of antenna","3","Offset Cassegrain paraboloid",,,,"Operational"
901.00,"002101","Type of antenna","4","Planar array",,,,"Operational"
902.00,"002101","Type of antenna","5","Coaxial-collinear array",,,,"Operational"
903.00,"002101","Type of antenna","6","Yagi elements array",,,,"Operational"
904.00,"002101","Type of antenna","7","Microstrip",,,,"Operational"
905.00,"002101","Type of antenna","8-13","Reserved",,,,"Operational"
906.00,"002101","Type of antenna","14","Other",,,,"Operational"
907.00,"002101","Type of antenna","15","Missing value",,,,"Operational"
908.00,"002103","Radome","1","Radar antenna is protected by a radome",,,,"Operational"
909.00,"002103","Radome","All 2","Missing value",,,,"Operational"
910.00,"002104","Antenna polarization","0","Horizontal polarization",,,,"Operational"
911.00,"002104","Antenna polarization","1","Vertical polarization",,,,"Operational"
912.00,"002104","Antenna polarization","2","Right circular polarization",,,,"Operational"
913.00,"002104","Antenna polarization","3","Left circular polarization",,,,"Operational"
914.00,"002104","Antenna polarization","4","Horizontal and vertical polarization",,,,"Operational"
915.00,"002104","Antenna polarization","5","Right and left circular polarization",,,,"Operational"
916.00,"002104","Antenna polarization","6","Quasi-horizontal polarization",,,,"Operational"
917.00,"002104","Antenna polarization","7","Quasi-vertical polarization",,,,"Operational"
918.00,"002104","Antenna polarization","8-14","Reserved",,,,"Operational"
919.00,"002104","Antenna polarization","15","Missing value",,,,"Operational"
920.00,"002115","Type of surface observing equipment","0","PDB",,,,"Operational"
