"No","Categry","CategoryOfSequences_en","FXY1","Title_en","SubTitle_en","FXY2","ElementName_en","ExistingElementName_en","Note_en","Status"
202.00,"07","Surface report sequences (land)","D07018","(Trend-type landing forecast)",,"R02000","Delayed replication descriptor","Delayed replication of 2 descriptors (up to 2)",,"Operational"
203.00,"07","Surface report sequences (land)","D07018","(Trend-type landing forecast)",,"B08017","Qualifier of the time when the forecast change is expected","Qualifier of the time when the forecast change is expected (FM, TL, AT) - TT",,"Operational"
204.00,"07","Surface report sequences (land)","D07018","(Trend-type landing forecast)",,"D01012",,"GG, gg",,"Operational"
205.00,"07","Surface report sequences (land)","D07018","(Trend-type landing forecast)",,"R04000","Delayed replication descriptor","Delayed replication of 4 descriptor (up to 1)",,"Operational"
206.00,"07","Surface report sequences (land)","D07018","(Trend-type landing forecast)",,"B07006","Height above station","Height above station",,"Operational"
207.00,"07","Surface report sequences (land)","D07018","(Trend-type landing forecast)",,"B11001","Wind direction","Wind direction - ddd",,"Operational"
208.00,"07","Surface report sequences (land)","D07018","(Trend-type landing forecast)",,"B11002","Wind speed","Wind speed - ff",,"Operational"
209.00,"07","Surface report sequences (land)","D07018","(Trend-type landing forecast)",,"B11041","Maximum wind gust speed","Maximum wind speed (gusts) - fmfm",,"Operational"
210.00,"07","Surface report sequences (land)","D07018","(Trend-type landing forecast)",,"B20009","General weather indicator (TAF/METAR)","General weather indicator",,"Operational"
211.00,"07","Surface report sequences (land)","D07018","(Trend-type landing forecast)",,"R01000","Delayed replication descriptor","Delayed replication of 1 descriptor (up to 1)",,"Operational"
212.00,"07","Surface report sequences (land)","D07018","(Trend-type landing forecast)",,"B20001","Horizontal visibility","Horizontal visibility - VVVV",,"Operational"
213.00,"07","Surface report sequences (land)","D07018","(Trend-type landing forecast)",,"D07014","(w´w´)","w´w´",,"Operational"
214.00,"07","Surface report sequences (land)","D07030","(Ozone data - single observation)",,"B15001","Total ozone","Value of ozone measurement",,"Operational"
215.00,"07","Surface report sequences (land)","D07030","(Ozone data - single observation)",,"B15002","Air mass (slant path at 22 km)","Value of the air-mass",,"Operational"
216.00,"07","Surface report sequences (land)","D07031","(Ozone data - averaged observations)",,"B08022","Total number (with respect to accumulation or average)","Number of measurements",,"Operational"
217.00,"07","Surface report sequences (land)","D07031","(Ozone data - averaged observations)",,"B08023","First-order statistics","First-order statistics = 4: mean value",,"Operational"
218.00,"07","Surface report sequences (land)","D07031","(Ozone data - averaged observations)",,"B15001","Total ozone","Value (average) of ozone measurement",,"Operational"
219.00,"07","Surface report sequences (land)","D07031","(Ozone data - averaged observations)",,"B08023","First-order statistics","First-order statistics = 9: best estimate of standard deviation",,"Operational"
220.00,"07","Surface report sequences (land)","D07031","(Ozone data - averaged observations)",,"B15001","Total ozone","Best estimate of standard deviation of the ozone measurement",,"Operational"
221.00,"07","Surface report sequences (land)","D07031","(Ozone data - averaged observations)",,"B08023","First-order statistics","First-order statistics = 11: harmonic mean",,"Operational"
222.00,"07","Surface report sequences (land)","D07031","(Ozone data - averaged observations)",,"B15002","Air mass (slant path at 22 km)","Value (harmonic mean) of the air-mass",,"Operational"
223.00,"07","Surface report sequences (land)","D07041","(Total ozone measurement from a Brewer ground-based spectrophotometer obtained from a single observation)",,"D01001",,"Identification",,"Operational"
224.00,"07","Surface report sequences (land)","D07041","(Total ozone measurement from a Brewer ground-based spectrophotometer obtained from a single observation)",,"B01015","Station or site name","Station or site name",,"Operational"
225.00,"07","Surface report sequences (land)","D07041","(Total ozone measurement from a Brewer ground-based spectrophotometer obtained from a single observation)",,"D01024",,"Latitude, longitude, height of station",,"Operational"
226.00,"07","Surface report sequences (land)","D07041","(Total ozone measurement from a Brewer ground-based spectrophotometer obtained from a single observation)",,"D01011",,"Year, month, day (of ozone measurement)",,"Operational"
227.00,"07","Surface report sequences (land)","D07041","(Total ozone measurement from a Brewer ground-based spectrophotometer obtained from a single observation)",,"D01012",,"Hour, minute (of ozone measurement)",,"Operational"
228.00,"07","Surface report sequences (land)","D07041","(Total ozone measurement from a Brewer ground-based spectrophotometer obtained from a single observation)",,"D01070","(Ozone instrumentation - Brewer spectrophotometer)","Ozone instrumentation",,"Operational"
229.00,"07","Surface report sequences (land)","D07041","(Total ozone measurement from a Brewer ground-based spectrophotometer obtained from a single observation)",,"D07030","(Ozone data - single observation)","Data (single observation)",,"Operational"
230.00,"07","Surface report sequences (land)","D07042","(Total ozone measurement from a Brewer ground-based spectrophotometer obtained from averaged observations)",,"D01001",,"Identification",,"Operational"
231.00,"07","Surface report sequences (land)","D07042","(Total ozone measurement from a Brewer ground-based spectrophotometer obtained from averaged observations)",,"B01015","Station or site name","Station or site name",,"Operational"
232.00,"07","Surface report sequences (land)","D07042","(Total ozone measurement from a Brewer ground-based spectrophotometer obtained from averaged observations)",,"D01024",,"Latitude, longitude, height of station",,"Operational"
233.00,"07","Surface report sequences (land)","D07042","(Total ozone measurement from a Brewer ground-based spectrophotometer obtained from averaged observations)",,"D01011",,"Year, month, day (of ozone measurement)",,"Operational"
234.00,"07","Surface report sequences (land)","D07042","(Total ozone measurement from a Brewer ground-based spectrophotometer obtained from averaged observations)",,"D01012",,"Hour, minute (of ozone measurement)",,"Operational"
235.00,"07","Surface report sequences (land)","D07042","(Total ozone measurement from a Brewer ground-based spectrophotometer obtained from averaged observations)",,"B08021","Time significance","Time significance = 8: ensemble mean",,"Operational"
236.00,"07","Surface report sequences (land)","D07042","(Total ozone measurement from a Brewer ground-based spectrophotometer obtained from averaged observations)",,"B04025","Time period or displacement","Time period (minutes) for the computation of the average",,"Operational"
237.00,"07","Surface report sequences (land)","D07042","(Total ozone measurement from a Brewer ground-based spectrophotometer obtained from averaged observations)",,"D01070","(Ozone instrumentation - Brewer spectrophotometer)","Ozone instrumentation",,"Operational"
238.00,"07","Surface report sequences (land)","D07042","(Total ozone measurement from a Brewer ground-based spectrophotometer obtained from averaged observations)",,"D07031","(Ozone data - averaged observations)","Data (averaged observation)",,"Operational"
239.00,"07","Surface report sequences (land)","D07043","(Total ozone measurement from a Dobson ground-based spectrophotometer obtained from a single observation)",,"D01001",,"Identification",,"Operational"
240.00,"07","Surface report sequences (land)","D07043","(Total ozone measurement from a Dobson ground-based spectrophotometer obtained from a single observation)",,"B01015","Station or site name","Station or site name",,"Operational"
241.00,"07","Surface report sequences (land)","D07043","(Total ozone measurement from a Dobson ground-based spectrophotometer obtained from a single observation)",,"D01024",,"Latitude, longitude, height of station",,"Operational"
242.00,"07","Surface report sequences (land)","D07043","(Total ozone measurement from a Dobson ground-based spectrophotometer obtained from a single observation)",,"D01011",,"Year, month, day (of ozone measurement)",,"Operational"
243.00,"07","Surface report sequences (land)","D07043","(Total ozone measurement from a Dobson ground-based spectrophotometer obtained from a single observation)",,"D01012",,"Hour, minute (of ozone measurement)",,"Operational"
244.00,"07","Surface report sequences (land)","D07043","(Total ozone measurement from a Dobson ground-based spectrophotometer obtained from a single observation)",,"D01074","(Ozone instrumentation - Dobson spectrophotometer)","Ozone instrumentation",,"Operational"
245.00,"07","Surface report sequences (land)","D07043","(Total ozone measurement from a Dobson ground-based spectrophotometer obtained from a single observation)",,"D07030","(Ozone data - single observation)","Data (single observation)",,"Operational"
246.00,"07","Surface report sequences (land)","D07044","(Total ozone measurement from a Dobson ground-based spectrophotometer obtained from averaged observations)",,"D01001",,"Identification",,"Operational"
247.00,"07","Surface report sequences (land)","D07044","(Total ozone measurement from a Dobson ground-based spectrophotometer obtained from averaged observations)",,"B01015","Station or site name","Station or site name",,"Operational"
248.00,"07","Surface report sequences (land)","D07044","(Total ozone measurement from a Dobson ground-based spectrophotometer obtained from averaged observations)",,"D01024",,"Latitude, longitude, height of station",,"Operational"
249.00,"07","Surface report sequences (land)","D07044","(Total ozone measurement from a Dobson ground-based spectrophotometer obtained from averaged observations)",,"D01011",,"Year, month, day (of ozone measurement)",,"Operational"
250.00,"07","Surface report sequences (land)","D07044","(Total ozone measurement from a Dobson ground-based spectrophotometer obtained from averaged observations)",,"D01012",,"Hour, minute (of ozone measurement)",,"Operational"
251.00,"07","Surface report sequences (land)","D07044","(Total ozone measurement from a Dobson ground-based spectrophotometer obtained from averaged observations)",,"B08021","Time significance","Time significance = 8: ensemble mean",,"Operational"
252.00,"07","Surface report sequences (land)","D07044","(Total ozone measurement from a Dobson ground-based spectrophotometer obtained from averaged observations)",,"B04025","Time period or displacement","Time period (minutes) for the computation of the average",,"Operational"
253.00,"07","Surface report sequences (land)","D07044","(Total ozone measurement from a Dobson ground-based spectrophotometer obtained from averaged observations)",,"D01074","(Ozone instrumentation - Dobson spectrophotometer)","Ozone instrumentation",,"Operational"
254.00,"07","Surface report sequences (land)","D07044","(Total ozone measurement from a Dobson ground-based spectrophotometer obtained from averaged observations)",,"D07031","(Ozone data - averaged observations)","Data (averaged observation)",,"Operational"
255.00,"07","Surface report sequences (land)","D07060","(Soil temperature below land surface)",,"B07061","Depth below land surface","Depth below land surface",,"Operational"
256.00,"07","Surface report sequences (land)","D07060","(Soil temperature below land surface)",,"B12030","Soil temperature","Soil temperature",,"Operational"
257.00,"07","Surface report sequences (land)","D07061","(Soil temperature data at number of depths not exceeding five - high accuracy position)",,"D01031",,"Identification, type, date/time, position (high accuracy), height",,"Operational"
258.00,"07","Surface report sequences (land)","D07061","(Soil temperature data at number of depths not exceeding five - high accuracy position)",,"R01005","Replication descriptor","Replicate 1 descriptor 5 times",,"Operational"
259.00,"07","Surface report sequences (land)","D07061","(Soil temperature data at number of depths not exceeding five - high accuracy position)",,"D07060","(Soil temperature below land surface)","Depth below land surface, soil temperature",,"Operational"
260.00,"07","Surface report sequences (land)","D07062","(Soil temperature data at number of depths not exceeding five - coarse accuracy position)",,"D01032",,"Identification, type, date/time, position (coarse accuracy), height",,"Operational"
261.00,"07","Surface report sequences (land)","D07062","(Soil temperature data at number of depths not exceeding five - coarse accuracy position)",,"R01005","Replication descriptor","Replicate 1 descriptor 5 times",,"Operational"
262.00,"07","Surface report sequences (land)","D07062","(Soil temperature data at number of depths not exceeding five - coarse accuracy position)",,"D07060","(Soil temperature below land surface)","Depth below land surface, soil temperature",,"Operational"
263.00,"07","Surface report sequences (land)","D07063","(Soil temperature with scale of 2 below land surface)",,"B07061","Depth below land surface","Depth below land surface",,"Operational"
264.00,"07","Surface report sequences (land)","D07063","(Soil temperature with scale of 2 below land surface)",,"B12130","Soil temperature","Soil temperature (with scale of 2)",,"Operational"
265.00,"07","Surface report sequences (land)","D07087","(""Instantaneous"" parameters of sequence D 07 089)","Surface station identification, time, horizontal and vertical coordinates","D01001",,"WMO block number, WMO station number     IIiii",,"Operational"
266.00,"07","Surface report sequences (land)","D07087","(""Instantaneous"" parameters of sequence D 07 089)",,"B02001","Type of station","Type of station     ix",,"Operational"
267.00,"07","Surface report sequences (land)","D07087","(""Instantaneous"" parameters of sequence D 07 089)",,"D01011",,"Year, month, day     YY",,"Operational"
268.00,"07","Surface report sequences (land)","D07087","(""Instantaneous"" parameters of sequence D 07 089)",,"D01012",,"Hour, minute     GG, gg",,"Operational"
269.00,"07","Surface report sequences (land)","D07087","(""Instantaneous"" parameters of sequence D 07 089)",,"D01023",,"Latitude, longitude (course accuracy)",,"Operational"
270.00,"07","Surface report sequences (land)","D07087","(""Instantaneous"" parameters of sequence D 07 089)",,"B07030","Height of station ground above mean sea level","Height of station ground above msl",,"Operational"
271.00,"07","Surface report sequences (land)","D07087","(""Instantaneous"" parameters of sequence D 07 089)",,"B07031","Height of barometer above mean sea level","Height of barometer above msl",,"Operational"
272.00,"07","Surface report sequences (land)","D07087","(""Instantaneous"" parameters of sequence D 07 089)","Pressure data","D02001",,"Pressure PoPoPoPo, Pressure reduced to mean sea level PPPP, 3-hour pressure change ppp, Characteristic of pressure tendency a",,"Operational"
273.00,"07","Surface report sequences (land)","D07087","(""Instantaneous"" parameters of sequence D 07 089)","Pressure data","B10062","24-hour pressure change","24-hour pressure change     p24p24p24",,"Operational"
274.00,"07","Surface report sequences (land)","D07087","(""Instantaneous"" parameters of sequence D 07 089)","Pressure data","B07004","Pressure","Pressure (standard level) a3 = 925, 850, 700, ..hPa, = missing for lowland stations",,"Operational"
275.00,"07","Surface report sequences (land)","D07087","(""Instantaneous"" parameters of sequence D 07 089)","Pressure data","B10009","Geopotential height","Geopotential height of the standard level hhh = missing for lowland stations",,"Operational"
276.00,"07","Surface report sequences (land)","D07087","(""Instantaneous"" parameters of sequence D 07 089)","Temperature and humidity","B07032","Height of sensor above local ground (or deck of marine platform)","Height of sensor above local ground (for temperature measurement)",,"Operational"
277.00,"07","Surface report sequences (land)","D07087","(""Instantaneous"" parameters of sequence D 07 089)","Temperature and humidity","B12101","Temperature/air temperature","Temperature/air temperature (sc. 2)     snTTT",,"Operational"
278.00,"07","Surface report sequences (land)","D07087","(""Instantaneous"" parameters of sequence D 07 089)","Temperature and humidity","B12103","Dew-point temperature","Dew-point temperature (sc. 2)     snTdTdTd",,"Operational"
279.00,"07","Surface report sequences (land)","D07087","(""Instantaneous"" parameters of sequence D 07 089)","Temperature and humidity","B13003","Relative humidity","Relative humidity",,"Operational"
280.00,"07","Surface report sequences (land)","D07087","(""Instantaneous"" parameters of sequence D 07 089)","Temperature and humidity","B07032","Height of sensor above local ground (or deck of marine platform)","Height of sensor above local ground (set to missing to cancel the previous value)",,"Operational"
281.00,"07","Surface report sequences (land)","D07087","(""Instantaneous"" parameters of sequence D 07 089)","Visibility","B20001","Horizontal visibility","Horizontal visibility     VV",,"Operational"
282.00,"07","Surface report sequences (land)","D07087","(""Instantaneous"" parameters of sequence D 07 089)","Cloud data","D02004",,"Cloud cover (total) N   If N = 9, then B 20 010 = 113%, if N = /, then B 20 010 = missing.   Vertical significance   If CL are observed, then B 08 002 = 7 (low cloud), if CL are not observed and CM are observed, then B 08 002 = 8 (middle cloud), if only CH are observed, B 08 002 = 0, if N = 9, then B 08 002 = 5, if N = 0, then B 08 002 = 62, if N = /, then B 08 002 = missing.   Cloud amount (of low or middle clouds) Nh   If N = 0, then B 20 011 = 0, if N = 9, then B 20 011 = 9, if N = /, then B 20 011 = missing.   Height of base of cloud h (continued)   If N = 0 or /, then B 20 013 = missing.   Cloud type (low clouds) CL   B 20 012 = CL + 30, if N = 0, then B 20 012 = 30,   if N = 9 or /, then B 20 012 = 62.   Cloud type (middle clouds) CM   B 20 012 = CM + 20, if N = 0, then B 20 012 = 20, if N = 9 or / or CM = /, then B 20 012 = 61.   Cloud type (high clouds) CH   B 20 012 = H + 10, if N = 0, then B 20 012 = 10, if N = 9 or / or CH = /, then B 20 012 = 60.",,"Operational"
283.00,"07","Surface report sequences (land)","D07087","(""Instantaneous"" parameters of sequence D 07 089)",,"R01000","Delayed replication descriptor","Delayed replication of the next 1 descriptor",,"Operational"
284.00,"07","Surface report sequences (land)","D07087","(""Instantaneous"" parameters of sequence D 07 089)",,"D02005",,"Vertical significance   In any Cb layer, B 08 002 = 4 , else: in the first replication: if N = 9, then B 08 002 = 5, if N = /, then B 08 002 = missing, else B 08 002 = 1; in the other replications B 08 002 = 2, 3, 4.   Cloud amount Ns   In the first replication: If N = /, then B 20 011 = missing, else B 20 011 = Ns; in the other replications B 20 011 = Ns.   Cloud type C   if N = 9 or /, then B 20 012 = missing, else B 20 012 = C.   Height of base of cloud hshs",,"Operational"
285.00,"07","Surface report sequences (land)","D07088","(""Period"" parameters of sequence D 07 089)","Present and past weather","B20003","Present weather","Present weather     ww",,"Operational"
286.00,"07","Surface report sequences (land)","D07088","(""Period"" parameters of sequence D 07 089)","Present and past weather","B04024","Time period or displacement","Time period At 00, 06, 12, 18 UTC = -6.  At 03, 09,15, 21 UTC = -3.",,"Operational"
287.00,"07","Surface report sequences (land)","D07088","(""Period"" parameters of sequence D 07 089)","Present and past weather","B20004","Past weather (1)","Past weather (1)     W1",,"Operational"
288.00,"07","Surface report sequences (land)","D07088","(""Period"" parameters of sequence D 07 089)","Present and past weather","B20005","Past weather (2)","Past weather (2)     W2",,"Operational"
289.00,"07","Surface report sequences (land)","D07088","(""Period"" parameters of sequence D 07 089)","Evaporation","B04024","Time period or displacement","Time period in hours = -24",,"Operational"
290.00,"07","Surface report sequences (land)","D07088","(""Period"" parameters of sequence D 07 089)","Evaporation","B02004","Type of instrumentation for evaporation measurement or type of crop for which evapotranspiration is reported","Type of instrument for evaporation or crop type for evapotranspiration iE",,"Operational"
291.00,"07","Surface report sequences (land)","D07088","(""Period"" parameters of sequence D 07 089)","Evaporation","B13033","Evaporation/evapotranspiration","Evaporation /evapotranspiration     EEE",,"Operational"
292.00,"07","Surface report sequences (land)","D07088","(""Period"" parameters of sequence D 07 089)","Sunshine","R02002","Replication descriptor","Replicate next 2 descriptors 2 times",,"Operational"
293.00,"07","Surface report sequences (land)","D07088","(""Period"" parameters of sequence D 07 089)","Sunshine","B04024","Time period or displacement","Time period in hours  In the first replication = -24, in the second replication = - 1.",,"Operational"
294.00,"07","Surface report sequences (land)","D07088","(""Period"" parameters of sequence D 07 089)","Sunshine","B14031","Total sunshine","Total sunshine in minutes  In the first replication SSS  in the second replication SS",,"Operational"
295.00,"07","Surface report sequences (land)","D07088","(""Period"" parameters of sequence D 07 089)","Precipitation","R02002","Replication descriptor","Replicate next 2 descriptors 2 times",,"Operational"
296.00,"07","Surface report sequences (land)","D07088","(""Period"" parameters of sequence D 07 089)","Precipitation","B04024","Time period or displacement","Time period in hours     tR",,"Operational"
297.00,"07","Surface report sequences (land)","D07088","(""Period"" parameters of sequence D 07 089)","Precipitation","B13011","Total precipitation/total water equivalent","Total precipitation RRR  no precipitation = 0  trace = -0.1",,"Operational"
298.00,"07","Surface report sequences (land)","D07088","(""Period"" parameters of sequence D 07 089)","Extreme temperatures","B07032","Height of sensor above local ground (or deck of marine platform)","Height of sensor above local ground (for temperature measurement)",,"Operational"
299.00,"07","Surface report sequences (land)","D07088","(""Period"" parameters of sequence D 07 089)","Extreme temperatures","B04024","Time period or displacement","Time period in hours = -12",,"Operational"
300.00,"07","Surface report sequences (land)","D07088","(""Period"" parameters of sequence D 07 089)","Extreme temperatures","B12111","Maximum temperature, at height and over period specified","Maximum temperature at height and over period specified     snTxTxTx",,"Operational"
301.00,"07","Surface report sequences (land)","D07088","(""Period"" parameters of sequence D 07 089)","Extreme temperatures","B04024","Time period or displacement","Time period in hours = -12",,"Operational"
302.00,"07","Surface report sequences (land)","D07088","(""Period"" parameters of sequence D 07 089)","Extreme temperatures","B12112","Minimum temperature, at height and over period specified","Minimum temperature at height and over period specified     snTnTnTn",,"Operational"
303.00,"07","Surface report sequences (land)","D07088","(""Period"" parameters of sequence D 07 089)","Wind data","B07032","Height of sensor above local ground (or deck of marine platform)","Height of sensor above local ground (for wind measurement)",,"Operational"
304.00,"07","Surface report sequences (land)","D07088","(""Period"" parameters of sequence D 07 089)","Wind data","B02002","Type of instrumentation for wind measurement","Type for instrumentation for wind measurement     iw",,"Operational"
305.00,"07","Surface report sequences (land)","D07088","(""Period"" parameters of sequence D 07 089)","Wind data","B08021","Time significance","Time significance = 2 (time averaged)",,"Operational"
306.00,"07","Surface report sequences (land)","D07088","(""Period"" parameters of sequence D 07 089)","Wind data","B04025","Time period or displacement","Time period = -10 (or number of minutes after a significant change of wind, if any)",,"Operational"
307.00,"07","Surface report sequences (land)","D07088","(""Period"" parameters of sequence D 07 089)","Wind data","B11001","Wind direction","Wind direction dd  If dd = 00 (calm) or dd = 99 (variable), B 11 001 = 0.",,"Operational"
308.00,"07","Surface report sequences (land)","D07088","(""Period"" parameters of sequence D 07 089)","Wind data","B11002","Wind speed","Wind speed     ff",,"Operational"
309.00,"07","Surface report sequences (land)","D07088","(""Period"" parameters of sequence D 07 089)","Wind data","B08021","Time significance","Time significance (set to missing to cancel the previous value)",,"Operational"
310.00,"07","Surface report sequences (land)","D07089","(Sequence for representation of synoptic reports from a fixed land station suitable for SYNOP data manually encoded in CREX)",,"D07087","(""Instantaneous"" parameters of sequence D07089)","""Instantaneous"" parameters of sequence D 07 089",,"Operational"
311.00,"07","Surface report sequences (land)","D07089","(Sequence for representation of synoptic reports from a fixed land station suitable for SYNOP data manually encoded in CREX)",,"D07088","(""Period"" parameters of sequence D 07 089)","""Period"" parameters of sequence D 07 089",,"Operational"
312.00,"08","Surface report sequences (sea)","D08010","(TRACKOB template)",,"B01011","Ship or mobile land station identifier","Ship or mobile land station identifier",,"Operational"
313.00,"08","Surface report sequences (sea)","D08010","(TRACKOB template)",,"R13000","Delayed replication descriptor","Delayed replication of 13 descriptors",,"Operational"
314.00,"08","Surface report sequences (sea)","D08010","(TRACKOB template)",,"D01011",,"Date",,"Operational"
315.00,"08","Surface report sequences (sea)","D08010","(TRACKOB template)",,"D01012",,"Time",,"Operational"
316.00,"08","Surface report sequences (sea)","D08010","(TRACKOB template)",,"D01021",,"Latitude/longitude (high accuracy)",,"Operational"
317.00,"08","Surface report sequences (sea)","D08010","(TRACKOB template)",,"B04080","Averaging period for following value","Averaging period for following value",,"Operational"
318.00,"08","Surface report sequences (sea)","D08010","(TRACKOB template)",,"B22049","Sea surface temperature","Sea surface temperature",,"Operational"
319.00,"08","Surface report sequences (sea)","D08010","(TRACKOB template)",,"B04080","Averaging period for following value","Averaging period for following value",,"Operational"
320.00,"08","Surface report sequences (sea)","D08010","(TRACKOB template)",,"B22059","Sea surface salinity","Sea surface salinity",,"Operational"
321.00,"08","Surface report sequences (sea)","D08010","(TRACKOB template)",,"B04080","Averaging period for following value","Averaging period for following value",,"Operational"
322.00,"08","Surface report sequences (sea)","D08010","(TRACKOB template)",,"B22005","Direction of sea surface current","Direction of sea surface current",,"Operational"
323.00,"08","Surface report sequences (sea)","D08010","(TRACKOB template)",,"B02042","Indicator for sea-surface current speed","Indicator for sea surface current speed",,"Operational"
324.00,"08","Surface report sequences (sea)","D08010","(TRACKOB template)",,"B22032","Speed of sea surface current","Speed of sea surface current",,"Operational"
325.00,"08","Surface report sequences (sea)","D08010","(TRACKOB template)",,"B02042","Indicator for sea-surface current speed","Indicator for sea surface current speed (cancel)",,"Operational"
326.00,"08","Surface report sequences (sea)","D08010","(TRACKOB template)",,"B04080","Averaging period for following value","Averaging period for following value (cancel)",,"Operational"
327.00,"09","Vertical sounding sequences (conventional data)","D09001","(Vertical wind profile)",,"D01037",,"Identification, etc. (land station, high accuracy position)",,"Operational"
328.00,"09","Vertical sounding sequences (conventional data)","D09001","(Vertical wind profile)",,"R01000","Delayed replication descriptor","Delayed replication of 1 descriptor",,"Operational"
329.00,"09","Vertical sounding sequences (conventional data)","D09001","(Vertical wind profile)",,"D03011",,"Winds at heights",,"Operational"
330.00,"09","Vertical sounding sequences (conventional data)","D09002","(Vertical wind profile)",,"D01038",,"Identification, etc. (land station, coarse accuracy position)",,"Operational"
331.00,"09","Vertical sounding sequences (conventional data)","D09002","(Vertical wind profile)",,"R01000","Delayed replication descriptor","Delayed replication of 1 descriptor",,"Operational"
332.00,"09","Vertical sounding sequences (conventional data)","D09002","(Vertical wind profile)",,"D03011",,"Winds at heights",,"Operational"
333.00,"09","Vertical sounding sequences (conventional data)","D09003","(Vertical wind profile)",,"D01037",,"Identification, etc. (land station, high accuracy position)",,"Operational"
334.00,"09","Vertical sounding sequences (conventional data)","D09003","(Vertical wind profile)",,"R01000","Delayed replication descriptor","Delayed replication of 1 descriptor",,"Operational"
335.00,"09","Vertical sounding sequences (conventional data)","D09003","(Vertical wind profile)",,"D03012",,"Winds at pressure levels",,"Operational"
336.00,"09","Vertical sounding sequences (conventional data)","D09004","(Vertical wind profile)",,"D01038",,"Identification, etc. (land station, coarse accuracy position)",,"Operational"
337.00,"09","Vertical sounding sequences (conventional data)","D09004","(Vertical wind profile)",,"R01000","Delayed replication descriptor","Delayed replication of 1 descriptor",,"Operational"
338.00,"09","Vertical sounding sequences (conventional data)","D09004","(Vertical wind profile)",,"D03012",,"Winds at pressure levels",,"Operational"
339.00,"09","Vertical sounding sequences (conventional data)","D09005","(Vertical sounding with relative humidity)",,"D01037",,"Identification, etc. (land station, high accuracy position)",,"Operational"
340.00,"09","Vertical sounding sequences (conventional data)","D09005","(Vertical sounding with relative humidity)",,"D02004",,"Significant cloud information",,"Operational"
341.00,"09","Vertical sounding sequences (conventional data)","D09005","(Vertical sounding with relative humidity)",,"R01000","Delayed replication descriptor","Delayed replication of 1 descriptor",,"Operational"
342.00,"09","Vertical sounding sequences (conventional data)","D09005","(Vertical sounding with relative humidity)",,"D03013",,"Pressure, geopotential, temperature and wind data",,"Operational"
343.00,"09","Vertical sounding sequences (conventional data)","D09006","(Vertical sounding with relative humidity)",,"D01038",,"Identification, etc. (land station, coarse accuracy position)",,"Operational"
344.00,"09","Vertical sounding sequences (conventional data)","D09006","(Vertical sounding with relative humidity)",,"D02004",,"Significant cloud information",,"Operational"
345.00,"09","Vertical sounding sequences (conventional data)","D09006","(Vertical sounding with relative humidity)",,"R01000","Delayed replication descriptor","Delayed replication of 1 descriptor",,"Operational"
346.00,"09","Vertical sounding sequences (conventional data)","D09006","(Vertical sounding with relative humidity)",,"D03013",,"Pressure, geopotential, temperature and wind data",,"Operational"
347.00,"09","Vertical sounding sequences (conventional data)","D09007","(Vertical sounding with dew-point data)",,"D01037",,"Identification, etc. (land station, high accuracy position)",,"Operational"
348.00,"09","Vertical sounding sequences (conventional data)","D09007","(Vertical sounding with dew-point data)",,"D02004",,"Significant cloud information",,"Operational"
349.00,"09","Vertical sounding sequences (conventional data)","D09007","(Vertical sounding with dew-point data)",,"R01000","Delayed replication descriptor","Delayed replication of 1 descriptor",,"Operational"
350.00,"09","Vertical sounding sequences (conventional data)","D09007","(Vertical sounding with dew-point data)",,"D03014",,"Pressure, geopotential, temperature and wind data",,"Operational"
351.00,"09","Vertical sounding sequences (conventional data)","D09008","(Vertical sounding with dew-point data)",,"D01038",,"Identification, etc. (land station, coarse accuracy position)",,"Operational"
352.00,"09","Vertical sounding sequences (conventional data)","D09008","(Vertical sounding with dew-point data)",,"D02004",,"Significant cloud information",,"Operational"
353.00,"09","Vertical sounding sequences (conventional data)","D09008","(Vertical sounding with dew-point data)",,"R01000","Delayed replication descriptor","Delayed replication of 1 descriptor",,"Operational"
354.00,"09","Vertical sounding sequences (conventional data)","D09008","(Vertical sounding with dew-point data)",,"D03014",,"Pressure, geopotential, temperature and wind data",,"Operational"
355.00,"09","Vertical sounding sequences (conventional data)","D09011","(Vertical wind profile)",,"D01039",,"Ship's identification, etc.",,"Operational"
356.00,"09","Vertical sounding sequences (conventional data)","D09011","(Vertical wind profile)",,"R01000","Delayed replication descriptor","Delayed replication of 1 descriptor",,"Operational"
357.00,"09","Vertical sounding sequences (conventional data)","D09011","(Vertical wind profile)",,"D03011",,"Winds at heights",,"Operational"
358.00,"09","Vertical sounding sequences (conventional data)","D09012","(Vertical wind profile)",,"D01039",,"Ship's identification, etc.",,"Operational"
359.00,"09","Vertical sounding sequences (conventional data)","D09012","(Vertical wind profile)",,"R01000","Delayed replication descriptor","Delayed replication of 1 descriptor",,"Operational"
360.00,"09","Vertical sounding sequences (conventional data)","D09012","(Vertical wind profile)",,"D03012",,"Winds at pressure levels",,"Operational"
361.00,"09","Vertical sounding sequences (conventional data)","D09013","(Vertical sounding with relative humidity)",,"D01039",,"Ship's identification, etc.",,"Operational"
362.00,"09","Vertical sounding sequences (conventional data)","D09013","(Vertical sounding with relative humidity)",,"D02004",,"Significant cloud information",,"Operational"
363.00,"09","Vertical sounding sequences (conventional data)","D09013","(Vertical sounding with relative humidity)",,"R01000","Delayed replication descriptor","Delayed replication of 1 descriptor",,"Operational"
364.00,"09","Vertical sounding sequences (conventional data)","D09013","(Vertical sounding with relative humidity)",,"D03013",,"Pressure, geopotential, temperature and wind data",,"Operational"
