row #,class,FXY,element name,note (github),notation (manual),note (manual),note applies to,my comment
1134,19,019004,Effective radius with respect to wind speeds above threshold,(see Note 2),2,Maximum wind and effective radius of maximum wind shall be indicated by means of the 0 19 003 and 0 19 004 entries.,element,
1135,19,019005,Direction of motion of feature,(see Note 3),3,"For a stationary feature, both Direction of motion of feature (0 19 005) and Speed of motion of feature (0 19 006) shall be reported as 0.",element,
1136,19,019006,Speed of motion of feature,(see Note 3),3,"For a stationary feature, both Direction of motion of feature (0 19 005) and Speed of motion of feature (0 19 006) shall be reported as 0.",element,
1137,20,020003,Present weather,(see Note 1),1,"When encoding present weather reported from an automatic weather station, the appropriate combination of descriptors 0 20 021, 0 20 022, 0 20 023, 0 20 024,0 20 025, 0 20 026 and 0 20 027 should be used and preferred. Descriptor 0 20 003 should be used only when descriptors mentioned above are not applicable.",element,
1138,20,020004,Past weather (1),(see Note 2),2,"When encoding past weather reported from an automatic weather station, the appropriate combination of descriptors 0 20 021, 0 20 022, 0 20 023, 0 20 024, 0 20 025,0 20 026 and 0 20 027 should be used and preferred. Descriptors 0 20 004 or 0 20 005 should be used only when descriptors mentioned above are not applicable.",element,
1139,20,020005,Past weather (2),(see Note 2),2,"When encoding past weather reported from an automatic weather station, the appropriate combination of descriptors 0 20 021, 0 20 022, 0 20 023, 0 20 024, 0 20 025,0 20 026 and 0 20 027 should be used and preferred. Descriptors 0 20 004 or 0 20 005 should be used only when descriptors mentioned above are not applicable.",element,
1140,20,020010,Cloud cover (total),(see Note 5),5,"A cloud cover (total) value 113 shall indicate ""Sky obscured by fog and/or other meteorological phenomena"".",element,
1141,20,020019,Significant present or forecast weather,(see Note 15),15,"Significant present or forecast weather (0 20 019) and Significant recent weather phenomena (0 20 020) shall be used in accordance with Code table 4678(Reference: Manual on Codes (WMO-No. 306), Volume I.1).",element,
1142,20,020020,Significant recent weather phenomena,(see Note 15),15,"Significant present or forecast weather (0 20 019) and Significant recent weather phenomena (0 20 020) shall be used in accordance with Code table 4678(Reference: Manual on Codes (WMO-No. 306), Volume I.1).",element,
1143,20,020038,Bearing of ice edge,(see Note 3),3,"The data width for descriptor 0 20 038 originally defined to be 12 is wrong. 9 bits are sufficient as for all the other ""degree true"" quantities. However, the 12-bit width is maintained for historical consistency. Also: A bearing of ice edge value 0 shall indicate ""Ship in shore or flaw lead"".",element,
1144,20,020054,True direction from which a phenomenon or clouds are moving or in which they are observed,(see Note 17),17,"True direction of a phenomenon or clouds (0 20 054) shall be used to indicate true direction from which a phenomenon or clouds are moving or in which they are observed. 0 20 054 value 0 shall indicate ""stationary or no clouds"" or ""observed at the station"", whereas value 500 shall indicate ""observed in all directions"" and value501 shall indicate ""unknown or clouds invisible"".",element,
1145,20,020060,Prevailing horizontal visibility,(see Note 7),7,A prevailing visibility value of 10 000 m before scaling (after scaling 1000) shall be used to report prevailing visibility 10 km or more.,element,
1146,20,020065,Snow cover,(see Note 4),4,"Snow cover will be reported for each satellite pixel as a percentage of coverage of the pixel. It does not seem feasible to try to use existing descriptor 0 20 062 for such a purpose because the use of that descriptor additionally implies details on, e.g. snow drifts, wet compared to dry snow that a satellite obviously cannot accurately detect.",element,
1147,20,020111,x-axis error ellipse major component,(see Notes 8 and 9),8,"If x = y then it is a radial error, and the angle (see 0 20 114) will be zero.",element,
1148,20,020111,x-axis error ellipse major component,(see Notes 8 and 9),9,"If x = y = z then it is a spherical error, and the angle (see 0 20 115) will be zero.",element,
1149,20,020112,y-axis error ellipse minor component,(see Notes 8 and 9),8,"If x = y then it is a radial error, and the angle (see 0 20 114) will be zero.",element,
1150,20,020112,y-axis error ellipse minor component,(see Notes 8 and 9),9,"If x = y = z then it is a spherical error, and the angle (see 0 20 115) will be zero.",element,
1151,20,020113,z-axis error ellipse component,(see Note 9),9,"If x = y = z then it is a spherical error, and the angle (see 0 20 115) will be zero.",element,
1152,20,020114,Angle of x-axis in error ellipse,(see Note 10),10,Angle of the error defined by 0 20 113 and 0 20 114. Cartesian with sign bit.,element,
1153,20,020115,Angle of z-axis in error ellipse,(see Note 11),11,"Angle of the error defined by 0 20 112, 0 20 113 and 0 20 114. Cartesian with sign bit.",element,
1154,20,020121,Threshold value for polarity decision,(see Note 12),12,"0 20 121 used in combination with 0 25 035, or all zero if not defined. Typically +1.000 V.",element,
1155,20,020122,Threshold value for polarity decision,(see Note 13),13,"0 20 122 used in combination with 0 25 035, or all zero if not defined. Typically +2000 A.",element,
1156,20,020123,Minimum threshold for detection,(see Note 14),14,"Minimum signal level acceptable for processing, e.g. 0.005 V or 5 mV, or typically just above the noise floor of the detector.",element,
1157,20,020130,Cloud hydrometeor concentration,(see Note 16),16,Cloud hydrometeor concentration (0 20 130) represents the number of hydrometeors in 1 dm3.,element,
1158,20,020013,Height of base of cloud,n/a,6,"When encoding height of cloud base between 20 050 and 21 000 m, 0 20 013 shall be set to 20 050; when encoding height of cloud base above 21 000 m, 0 20 013 shall be set to 20 060.",element,
1159,21,021189,Corrected OCOG* backscatter coefficient (negative reference),"is similar to 0-21-177, but with a negative reference value",no id,"0 21 189 is similar to 0-21-177, but with a negative reference value",element,
1160,21,021121,n/a,n/a,1 (superscript),NOF = Normalized objective function,element word,
1161,21,021177,n/a,n/a,2 (superscript),OCOG = Offset centre of gravity,element word,
1162,22,022004,Direction of current,(see Note 7),7,Descriptor 0 22 004: the direction given in this entry is the direction towards which current is flowing.,element,
1163,22,022039,Meteorological residual tidal elevation (surge or offset),(see Note 4),4,Descriptor 0 22 040 should be used instead of 0 22 039 for encoding meteorological residual tidal elevation (surge or offset).,element,
1164,22,022040,Meteorological residual tidal elevation (surge or offset),(see Note 4),4,Descriptor 0 22 040 should be used instead of 0 22 039 for encoding meteorological residual tidal elevation (surge or offset).,element,
1165,22,022102,Scaled maximum non-directional spectral wave density by frequency,(see Note 10),10,"Must be preceded by 0 08 090, possibly with intervening operators. The value is 10x multiplied by the encoded value, where x is the value associated with the preceding 0 08 090 descriptor. The encoded value is the actual value multiplied by 10-x.",element,
1166,22,022103,Scaled maximum non-directional spectral wave density by wave number,(see Note 10),10,"Must be preceded by 0 08 090, possibly with intervening operators. The value is 10x multiplied by the encoded value, where x is the value associated with the preceding 0 08 090 descriptor. The encoded value is the actual value multiplied by 10-x.",element,
1167,22,022104,Scaled non-directional spectral wave density by frequency,(see Note 10),10,"Must be preceded by 0 08 090, possibly with intervening operators. The value is 10x multiplied by the encoded value, where x is the value associated with the preceding 0 08 090 descriptor. The encoded value is the actual value multiplied by 10-x.",element,
1168,22,022105,Scaled non-directional spectral wave density by wave number,(see Note 10),10,"Must be preceded by 0 08 090, possibly with intervening operators. The value is 10x multiplied by the encoded value, where x is the value associated with the preceding 0 08 090 descriptor. The encoded value is the actual value multiplied by 10-x.",element,
1169,22,022106,Scaled directional spectral wave density by frequency,(see Note 10),10,"Must be preceded by 0 08 090, possibly with intervening operators. The value is 10x multiplied by the encoded value, where x is the value associated with the preceding 0 08 090 descriptor. The encoded value is the actual value multiplied by 10-x.",element,
1170,22,022107,Scaled directional spectral wave density by wave number,(see Note 10),10,"Must be preceded by 0 08 090, possibly with intervening operators. The value is 10x multiplied by the encoded value, where x is the value associated with the preceding 0 08 090 descriptor. The encoded value is the actual value multiplied by 10-x.",element,
1171,22,022179,Specific band significant wave height (negative reference),"similar to 0-22-190, but with a negative reference value",13,"0 22 179 is similar to 0 22 190, but with a negative reference value.",element,
1172,22,022182,Water column height,(see Note 9),9,The maximum deployment depth of deep-ocean tsunameters such as the PMEL Deep-Ocean Assessment and Reporting of Tsunamis (DART II) is about 6 000 m.,element,
1173,22,022186,Direction from which waves are coming,(see Note 11),11,"0 22 186 is introduced to express the direction of ""any wave"", as opposed to the direction of ""dominant wave"" (0 22 076), ""mean direction"" (0 22 086) and ""principal direction"" (0 22 087).",element,
1174,22,022187,Directional spread of wave,(see Note 12),12,"0 22 187 is introduced to express the directional spread of ""any wave"", as opposed to the directional spread of ""dominant wave"" (0 22 077).",element,
1175,22,022070,Significant wave height,n/a,1,The significant wave height is defined as four times the square root of the energy spectrum integrated over direction and frequency. It corresponds to about the height that one third of all waves exceed.,element,add to other elements with this in it? 
1176,22,022077,"Directional spread of dominant
wave",n/a,2,The dominant wave is the one that has the maximum energy in the energy spectrum.,element,
1177,22,022086,"Mean direction from which waves
are coming",n/a,3,"Mean wave direction is the angle alpha 1 and principal wave direction is the angle alpha 2, in the expression S(f, alpha) approximately equals:c11 × (0.5 + r1 × cos (alpha - alpha 1) + r2 × cos (2 (alpha - alpha 2))) / piin which S(f, alpha) is the wave directional spectrum and c11 is the non-directional spectrum, and the right hand side of this expression is the first two terms of the Fourier series expansion of S(f, alpha). If the mean and principal directions differ significantly (e.g. more than 15 degrees) for a given frequency, crossing seas areindicated.",element,needs confirmation
1178,22,022097 ,"Mean wavelength > 731 m of
image spectrum at low wave
numbers",n/a,5.1,nominal input range 0 - 10000 ,element,
1179,22,022098,"Wavelength spread (wavelength
> 731 m) at low wave numbers",n/a,5.2,nominal input range 0 - 10000,element,
1180,22,022099,"Mean direction at low wave
numbers (wavelength > 731 m)",n/a,5.3,nominal input range 0 - 359,element,
1181,22,022100,"Direction spread at low wave
numbers (wavelength > 731 m)",n/a,5.4,nominal input range 0 - 359,element,
1182,22,022101,"Total energy (wavelength > 731m)
at low wave numbers",n/a,5.5,"nominal input range 0 - 2 x 106, but may be greater because of uncertainty",element,
1183,22,022001,Direction of waves,n/a,6,The direction given in this entry is the direction which waves are coming from.,element,
1184,22,022002,Direction of wind waves,n/a,6,The direction given in this entry is the direction which waves are coming from.,element,
1185,22,022003,Direction of swell waves,n/a,6,The direction given in this entry is the direction which waves are coming from.,element,
1186,22,n/a,n/a,n/a,8,"Wind waves and waves reporting standards:Observation Speed Direction No observation Missing Missing Calm 0 0Normal observation >0 1-360Speed only >0 MissingDirection only Missing 1-360""Light and variable"" >0 0",class,
1187,23,/,/,/,/,/,/,no notes
1188,24,024014,Gamma radiation dose rate,(see Note 2),2,"Gamma radiation dose rate 0 24 014 is intended to be used for reporting of this element under normal conditions, nuclear accidents excluded.",element,
1189,24,n/a,n/a,n/a,1,Useful ranges used above:1011 Bq to 1019 Bq for releases;10-2 Bq to 107 Bq and 10-2 mSv to 107 mSv for concentration and doses.,class,
1190,24,n/a,n/a,n/a,*/1 (superscript),millisievert,word,"""mSv*"" in the UNITS column"
1191,25,025022,GHRSST* rejection flag,n/a,1 (superscript),GHRSST = GODAE high-resolution sea-surface temperature,element word,
1192,25,025009,Calibration method,(see Note 3),3,Descriptor 0 25 009 is deprecated. 0 25 029 should be used instead.,element,
1193,25,025014,Azimuth clutter cut-off,(see Note 1),1,0 25 014 nominal input range 0 - 2300.,element,
1194,25,025029,Calibration method,(see Note 3),3,Descriptor 0 25 009 is deprecated. 0 25 029 should be used instead.,element,
1195,25,025032,Wind profiler mode information,(see Note 2),2,The actual meaning of this quantity may be obtained from the originator of the data.,element,
1196,25,025033,Wind profiler submode information,(see Note 2),2,The actual meaning of this quantity may be obtained from the originator of the data.,element,
1197,25,025034,Wind profiler quality control test results,(see Note 2),2,The actual meaning of this quantity may be obtained from the originator of the data.,element,
1198,25,025035,Decision method for polarity,(see Note 5),5,"Certain sensors use a current decision above a threshold, others directly measure the voltage deflection.",element,
1199,25,025060,Software identification,(see Note 2),2,The actual meaning of this quantity may be obtained from the originator of the data.,element,
1200,25,025063,Central processor or system identifier,(see Note 6),6,"Flash Location Processor or system identity so as to identify where the event location was developed in multi-integrated system. Typically, a value of 1.",element,
1201,25,025175,Modified residual,(see Note 7),7,Modified residual calculated from the loci of the sensors and signal to noise ratios for the flash.,element,
1202,25,025180,LRM* per cent,n/a,2 (superscript),LRM = Low resolution mode,element word,
1203,25,025143,n/a,n/a,4,"Descriptor 0 25 143 is intended for numerical, non-dimensional values to be used as coefficients in statistical or linear processing. Each instance of 0 25 143 should be characterized by using an appropriate significance qualifier, such as 0 08 026.",element,
1204,26,026003,Time difference,n/a,no id,Descriptor 0 26 003 is to be used with 0 08 025 (time difference qualifier).,element,
1205,27,027003,"Alternate latitude (coarse
accuracy)",n/a,1,The alternate latitude may be used when the computation of the position yields multiple solutions and there is no a priori way to distinguish between them.,element,
1206,27,027020,Satellite location counter,n/a,2,The satellite location counter is calculated as:counter = superswath No. x 1000 + box No. x 10 + minibox No.,element,
1207,27,027021,Satellite sublocation dimension,n/a,3,The satellite sublocation dimension is calculated as:dimension = minibox dimension + box dimension where: minibox dimension = lines x 1000 + spots x 100box dimension = lines x 10 + spots,element,
1208,27,027031,"In direction of 0 degrees
longitude, distance from the
Earth's centre",n/a,4,The value for descriptor 0 27 031 has been chosen to be suitable for polar orbiting satellites in approximately Sun-synchronous orbits. Geostationary orbits would require greater data widths for distance and slightly less for speed.,element,
1209,27,027031,"In direction of 0 degrees
longitude, distance from the
Earth's centre",n/a,5,"Left-handed x, y and z axes have been chosen for descriptor 0 27 031.",element,
1210,28,028003,"Alternate longitude (coarse
accuracy)",n/a,1,The alternate longitude may be used when the computation of the position yields multiple solutions and there is no a priori way to distinguish between them.,element,
1211,28,028004,"Alternate longitude (high
accuracy)",n/a,1,The alternate longitude may be used when the computation of the position yields multiple solutions and there is no a priori way to distinguish between them.,element,
1212,28,028031,"In direction 90 degrees East,
distance from the Earth's centre",n/a,2,The value for descriptor 0 28 031 has been chosen to be suitable for polar orbiting satellites in approximately Sun-synchronous orbits. Geostationary orbits would require greater data widths for distance and slightly less for speed.,element,
1213,28,028031,"In direction 90 degrees East,
distance from the Earth's centre",n/a,3,"Left handed x, y and z axes have been chosen for descriptor 0 28 031.",element,
1214,29,/,/,/,/,/,/,no notes
1215,30,n/a,n/a,n/a,1,Pixel data width can be changed with descriptor 2 01 YYY.,class,
1216,30,n/a,n/a,n/a,2,"In order to distinguish unambiguously the cases of missing data and saturated pixels, n-bit image data should be encoded using a data width of n+1. Where such a descriptor is not already available in Class 30, operator descriptor 2 01 YYY should be used to modify the data width of the existing entry as required.",class,
1217,31,031011,"Delayed descriptor and data repetition
factor",n/a,1,"The ""delayed descriptor and data repetition factor"" is intended for run-length encoding (e.g. scanning an image). It specifies a count N which applies to both descriptor and data, i.e. the value of the single element defined by the following descriptor is repeated N times (at intervals already specified).",element,
1218,31,031031,Data present indicator,n/a,2,"Descriptor 0 31 031, used in conjunction with quality control or statistics operators 2 22 YYY through 2 32 YYY, shall indicate the presence of quality control information when the indicator value is set to zero. It may be used in conjunction with the replication operator 1 01 YYY to construct a table of data present/not presentindicators, forming a data present bit-map as defined in Regulation 94.5.5.3. This makes it possible to present quality control information and statistical information forselected data corresponding to element descriptors which precede the 2 22 YYY to 2 32 YYY operators.",element,
1219,31,031031,Data present indicator,n/a,3,Other applications of the data present indicator may be developed.,element,
1220,33,033045,Probability of following event,(see Notes 1 and 3),1,"When using descriptor 0 33 045 or 0 33 046, operator 2 41 000 shall be used in order to define the following event to which the reported probability value applies.",element,
1221,33,033045,Probability of following event,(see Notes 1 and 3),3,"When defining an event for use with descriptor 0 33 045 or 0 33 046, descriptor 0 33 042 may be employed in order to indicate that the following value is actually abound for a range of values.",element,
1222,33,033046,Conditional probability of following event with respect to specified conditioning event,"(see Notes 1, 2 and 3)",1,"When using descriptor 0 33 045 or 0 33 046, operator 2 41 000 shall be used in order to define the following event to which the reported probability value applies.",element,
1223,33,033046,Conditional probability of following event with respect to specified conditioning event,"(see Notes 1, 2 and 3)",2,"When using descriptor 0 33 046, operator 2 42 000 shall precede the occurrence of this descriptor in order to define the event upon which the reported probability value is conditioned.",element,
1224,33,033046,Conditional probability of following event with respect to specified conditioning event,"(see Notes 1, 2 and 3)",3,"When defining an event for use with descriptor 0 33 045 or 0 33 046, descriptor 0 33 042 may be employed in order to indicate that the following value is actually abound for a range of values.",element,
1225,35,/,/,/,/,/,/,no notes
1226,40,040069,"PWLR* estimated retrieval error for
surface air temperature",n/a,1 (superscript),Piece-Wise Linear Regression-cube and is a first-guess optimal estimation method.,element word,
1227,41,/,/,/,/,/,/,no notes
1228,42,/,/,/,/,/,/,no notes
