row #,category,table,Code figure / Bit No.,note (github),notation (manual),note (manual),note applies to,my comment
1511,33,033077,2,(see Note 1),1,"SDR quality is invalid if bit trim failed (see bit 12), or fringe count error detected (see bit 11), or invalid raw data record (RDR) data (see bit 10), or invalid radiometric calibration (see bit 5), or invalid spectral calibration (see bit 7).",code,
1449,25,025190,/,/,/,/,/,no notes
1450,25,025191,/,/,/,/,/,no notes
1451,26,026010,/,/,/,/,/,no notes
1515,33,033077,9,(see Note 5),5,Set to 0 if day (solar zenith angle < 90°). Set to 1 if night (solar zenith angle ≥ 90°).,code,
1453,29,029002,/,/,/,/,/,no notes
1454,30,030031,/,/,/,/,/,no notes
1455,30,030032,/,/,/,/,/,no notes
1514,33,033077,8,(see Note 4),4,"Set to 0 if no fringe count error was detected (see bit 11), or a fringe count error was detected but it was not corrected.",code,
1505,33,033076,1,(see Note),no id,Set to 1 if at least one spectrum in the deep space moving average was invalidated due to a lunar intrusion.,code,
1506,33,033076,2,(see Note),no id,Set to 1 if at least one spectrum in the deep space moving average was invalidated due to a lunar intrusion.,code,
1459,31,031031,/,/,/,/,/,no notes
1460,33,033002,/,/,/,/,/,no notes
1461,33,033003,/,/,/,/,/,no notes
1462,33,033005,/,/,/,/,/,no notes
1463,33,033006,/,/,/,/,/,no notes
1464,33,033015,/,/,/,/,/,no notes
1465,33,033020,/,/,/,/,/,no notes
1466,33,033021,/,/,/,/,/,no notes
1467,33,033022,/,/,/,/,/,no notes
1468,33,033023,/,/,/,/,/,no notes
1469,33,033024,/,/,/,/,/,no notes
1470,33,033025,/,/,/,/,/,no notes
1471,33,033026,/,/,/,/,/,no notes
1472,33,033027,/,/,/,/,/,no notes
1473,33,033028,/,/,/,/,/,no notes
1503,33,033075,3,(see Note 1),1,Set to 1 if laser wavelength calculation is invalid due to laser diode bias current and/or laser diode temperature measurements being outside the predetermined allowable ranges. These ranges are tunable.In this case Lambda monitored calculation shall have 1 bit per scan.,code,
1513,33,033077,7,(see Note 3),3,"Spectral calibration is invalid if fringe count error detected and corrected (see bit 8), or if neon calibration is suspect and Lambda monitored calculation cannot be updated (see ""Scan-level quality flags"" (0 33 075) -bit 3).",code,
1004,01,001029,n/a,n/a,*,Surface solar irradiance,word in title,
1428,25,025098,3,n/a,*,SWH = Significant wave height,word in code,
1429,25,025098,4,n/a,*,SWH = Significant wave height,word in code,
1430,25,025099,3,n/a,*,SWH = Significant wave height,word in code,
1431,25,025099,4,n/a,*,SWH = Significant wave height,word in code,
1457,31,031021,21,(see Note 2),2,The code figure 21 may be used within corrected messages with the substituted/corrected values identified.,code,
1482,33,033035,/,/,/,/,/,no notes
1483,33,033037,/,/,/,/,/,no notes
1313,20,020062,n/a,n/a,1,"The definitions in code numbers 0 to 2 and 4 apply to representative bare ground and numbers 3, 5 to 9 and 10 to 19 to an open representative area.",table,
1485,33,033039,/,/,/,/,/,no notes
1364,22,022061,n/a,n/a,2,"The exact bounding height shall be assigned for the lower code figure; e.g., a height of 4 m is coded as5.",table,
1487,33,033042,/,/,/,/,/,no notes
1488,33,033043,/,/,/,/,/,no notes
1489,33,033044,/,/,/,/,/,no notes
1490,33,033047,/,/,/,/,/,no notes
1262,20,020003,00-19,n/a,a,"The expression ""at the station"" refers to a land station or a ship.",code,change to (see Note...)
1492,33,033049,/,/,/,/,/,no notes
1493,33,033050,/,/,/,/,/,no notes
1494,33,033052,/,/,/,/,/,no notes
1495,33,033053,/,/,/,/,/,no notes
1496,33,033055,/,/,/,/,/,no notes
1497,33,033056,/,/,/,/,/,no notes
1498,33,033060,/,/,/,/,/,no notes
1202,08,008043,n/a,n/a,no id,The last column in the table contains the associated registry number from the Chemical Abstracts Service (CAS) of the American Chemical Society.,table,
1500,33,033070,/,/,/,/,/,no notes
1501,33,033071,/,/,/,/,/,no notes
1502,33,033072,/,/,/,/,/,no notes
1268,20,020003,n/a,n/a,1,The middle portion of this code table (code figures 100-199) includes terms on several levels to cover simple and increasingly complex automatic stations.,table,
1541,40,040005,n/a,n/a,no id,"The nominal range for the surface soil moisture is 0% - 100%. In extreme cases, the extrapolated backscatter at 40 degrees incidence angle may exceed the dry or the wet backscatter reference. In these cases, the value provided by the measurement process of surface soil moisture is, respectively,less than 0% or more than 100%.",table,
1542,40,040006,n/a,n/a,no id,"The nominal range for the surface soil moisture is 0% - 100%. In extreme cases, the extrapolated backscatter at 40 degrees incidence angle may exceed the dry or the wet backscatter reference. In these cases, the value provided by the measurement process of surface soil moisture is, respectively,less than 0% or more than 100%.",table,"previous: ""See Note under Flag table 0 40 005"""
1271,20,020004,11,n/a,no id,"The weather descriptions in code figures 10 to 19 are progressively complex, to accommodate the different levels of weather discrimination capability of various automatic stations. Stations having only basic sensing capability may use the lower code figures and basic generic descriptions (shown incapital letters). Stations with progressively higher discrimination capability shall use the moredetailed descriptions (higher codes).",code,
1272,20,020004,13,n/a,no id,"The weather descriptions in code figures 10 to 19 are progressively complex, to accommodate the different levels of weather discrimination capability of various automatic stations. Stations having only basic sensing capability may use the lower code figures and basic generic descriptions (shown incapital letters). Stations with progressively higher discrimination capability shall use the moredetailed descriptions (higher codes).",code,
1273,20,020004,14,n/a,no id,"The weather descriptions in code figures 10 to 19 are progressively complex, to accommodate the different levels of weather discrimination capability of various automatic stations. Stations having only basic sensing capability may use the lower code figures and basic generic descriptions (shown incapital letters). Stations with progressively higher discrimination capability shall use the moredetailed descriptions (higher codes).",code,
1274,20,020005,11,n/a,no id,"The weather descriptions in code figures 10 to 19 are progressively complex, to accommodate the different levels of weather discrimination capability of various automatic stations. Stations having only basic sensing capability may use the lower code figures and basic generic descriptions (shown incapital letters). Stations with progressively higher discrimination capability shall use the moredetailed descriptions (higher codes).",code,
1275,20,020005,13,n/a,no id,"The weather descriptions in code figures 10 to 19 are progressively complex, to accommodate the different levels of weather discrimination capability of various automatic stations. Stations having only basic sensing capability may use the lower code figures and basic generic descriptions (shown incapital letters). Stations with progressively higher discrimination capability shall use the moredetailed descriptions (higher codes).",code,
1276,20,020005,14,n/a,no id,"The weather descriptions in code figures 10 to 19 are progressively complex, to accommodate the different levels of weather discrimination capability of various automatic stations. Stations having only basic sensing capability may use the lower code figures and basic generic descriptions (shown incapital letters). Stations with progressively higher discrimination capability shall use the moredetailed descriptions (higher codes).",code,
1504,33,033075,4,(see Note 2),2,"These temperatures are used to compute the ""environmental"" contribution to the internal calibration target(ICT) radiances. When this bit is set to 1, the invalid temperatures shall be replaced with the validated temperature values of the ICT.",code,
1363,22,022061,n/a,n/a,1,"These values refer to well-developed wind waves of the open sea. While priority shall be given to the descriptive terms, these height values may be used for guidance by the observer when reporting the total state of agitation of the sea resulting from various factors such as wind, swell, currents, anglebetween swell and wind, etc.",table,
1486,33,033041,n/a,n/a,no id,"This descriptor will be associated with visibility data or height of clouds data to specify if the value is bounded. If the reported data is the true value, the code figure is 0. However, the measurement can hit the limit of the instrument measurement capability. If the reported value is higher than the true value, the codefigure is 1; if the reported value is lower than the true value, the code figure is 2.",table,
1517,33,033077,11,(see Note 7),7,"This flag indicates that a significant number of fringes have been missed, shifting the interferogram ZPD outside of a window monitored by the instrument, and the interferogram is excluded from SDR processing.",code,
1516,33,033077,10,(see Note 6),6,This flag indicates the instrument exhibited operational errors and the associated interferogram(s) is/are excluded from SDR processing.,code,
1184,08,008021,n/a,n/a,3,Time significance must be qualified by appropriate time periods being specified.,table,
1518,33,033078,/,/,/,/,/,no notes
1519,33,033079,/,/,/,/,/,no notes
1263,20,020003,19,n/a,b,Tornado cloud or waterspout.,code,
1521,33,033081,/,/,/,/,/,no notes
1522,33,033082,/,/,/,/,/,no notes
1020,02,002002,na,na,na,"Type of Instrumentation and original units for wind measurement
(measured in m s–1 unless otherwise indicated)",table,"note is in weird place, move to under table."
1524,33,033084,/,/,/,/,/,no notes
1045,02,002030,1,*,*,Value deprecated. Code figure 6 should be used instead.,code,
1146,03,003010,1,*,*,Value deprecated. Code figure 6 should be used instead.,code,
1117,02,002162,2,n/a,**,Water vapour,code,
1528,33,033086,/,/,/,/,/,no notes
1529,33,033087,/,/,/,/,/,no notes
1016,01,001150,4,n/a,2,"When Code figure 4 is used to specify a custom coordinate reference system, the ellipsoidal datum shall be an oblate ellipsoid of revolution, where the major axis is uniplanar with the equatorial plane and the minor axis traverses the prime meridian towards the prime pole. North corresponds to the directionfrom the Equator to the prime pole. East corresponds to the counterclockwise direction from the primemeridian as viewed from above the North Pole. In this case, the semi-major and semi-minor axes mustbe specified (e.g. by descriptors 0 01 152 and 0 01 153).",code,update association
1531,33,033092,/,/,/,/,/,no notes
1532,33,033093,/,/,/,/,/,no notes
1533,35,035000,/,/,/,/,/,no notes
1534,35,035001,/,/,/,/,/,no notes
1535,35,035030,/,/,/,/,/,no notes
1536,35,035031,/,/,/,/,/,no notes
1537,35,035032,/,/,/,/,/,no notes
1538,35,035033,/,/,/,/,/,no notes
1539,35,035034,/,/,/,/,/,no notes
1540,35,035035,/,/,/,/,/,no notes
1187,08,008024,14,**,**,"Where observed minus forecast values are represented, the period of the forecast shall be indicated by an appropriate descriptor from Class 04.",code,
1410,25,025041,1,n/a,no id,"Where the original reporting method is as indicated by code figure 1, the following conversion is recommended to obtain a suitable data value corresponding to descriptor 0 01 012:Reported value Data value0 01 452 903 1354 1805 2256 2707 3158 3609 511",code,note is formatted
1543,40,040011,/,/,/,/,/,no notes
1544,40,040012,/,/,/,/,/,no notes
1411,25,025042,1,n/a,no id,"Where the original reporting method is as indicated by code figure 1, the following conversion is recommended to obtain a suitable data value corresponding to descriptor 0 01 013:Reported value Data value 0 01 12 43 74 95 126 147 178 199 21/ 1023",code,
1546,40,040020,/,/,/,/,/,no notes
1547,40,040023,/,/,/,/,/,no notes
1548,40,040024,/,/,/,/,/,no notes
1549,40,040025,/,/,/,/,/,no notes
1550,40,040028,/,/,/,/,/,no notes
1551,40,040036,/,/,/,/,/,no notes
1552,40,040043,/,/,/,/,/,no notes
1553,40,040045,/,/,/,/,/,no notes
1554,40,040046,/,/,/,/,/,no notes
1555,40,040047,/,/,/,/,/,no notes
1556,40,040048,/,/,/,/,/,no notes
1557,40,040049,/,/,/,/,/,no notes
1558,40,040050,/,/,/,/,/,no notes
1559,40,040051,/,/,/,/,/,no notes
1560,40,040052,/,/,/,/,/,no notes
1561,40,040054,/,/,/,/,/,no notes
1562,40,040055,/,/,/,/,/,no notes
1563,40,040056,/,/,/,/,/,no notes
1564,40,040057,/,/,/,/,/,no notes
1565,40,040068,/,/,/,/,/,no notes
1566,40,040074,/,/,/,/,/,no notes
1567,42,042004,/,/,/,/,/,no notes
