"No","Category","CategoryOfSequences_en","FXY1","Title_en","SubTitle_en","FXY2","ElementName_en","ExistingElementName_en","Note_en","Status"
363.00,"01","Location and identification sequences","301111","(Identification of launch site and instrumentation for P, T, U and wind measurements)",,"301001","WMO block and station numbers","WMO block number, WMO station number",,"Operational"
364.00,"01","Location and identification sequences","301111","(Identification of launch site and instrumentation for P, T, U and wind measurements)",,"001011","Ship or mobile land station identifier","Ship or mobile land station identifier",,"Operational"
365.00,"01","Location and identification sequences","301111","(Identification of launch site and instrumentation for P, T, U and wind measurements)",,"002011","Radiosonde type","Radiosonde type",,"Operational"
366.00,"01","Location and identification sequences","301111","(Identification of launch site and instrumentation for P, T, U and wind measurements)",,"002013","Solar and infrared radiation correction","Solar and infrared radiation correction",,"Operational"
367.00,"01","Location and identification sequences","301111","(Identification of launch site and instrumentation for P, T, U and wind measurements)",,"002014","Tracking technique/status of system used","Tracking technique/status of system used",,"Operational"
368.00,"01","Location and identification sequences","301111","(Identification of launch site and instrumentation for P, T, U and wind measurements)",,"002003","Type of measuring equipment used","Type of measuring equipment used",,"Operational"
369.00,"01","Location and identification sequences","301112","(Identification of launch point and instrumentation of dropsonde)",,"001006","Aircraft flight number","Aircraft identifier",,"Operational"
370.00,"01","Location and identification sequences","301112","(Identification of launch point and instrumentation of dropsonde)",,"002011","Radiosonde type","Radiosonde type",,"Operational"
371.00,"01","Location and identification sequences","301112","(Identification of launch point and instrumentation of dropsonde)",,"002013","Solar and infrared radiation correction","Solar and infrared radiation correction",,"Operational"
372.00,"01","Location and identification sequences","301112","(Identification of launch point and instrumentation of dropsonde)",,"002014","Tracking technique/status of system used","Tracking technique/status of system used",,"Operational"
373.00,"01","Location and identification sequences","301112","(Identification of launch point and instrumentation of dropsonde)",,"002003","Type of measuring equipment used","Type of measuring equipment used",,"Operational"
374.00,"01","Location and identification sequences","301113","(Date/time of launch)",,"008021","Time significance","Time significance (= 18 (launch time))","<(see Note 3)>","Operational"
375.00,"01","Location and identification sequences","301113","(Date/time of launch)",,"301011","Year, month, day","Year, month, day of launch",,"Operational"
376.00,"01","Location and identification sequences","301113","(Date/time of launch)",,"301013","Hour, minute, second","Hour, minute, second of launch",,"Operational"
377.00,"01","Location and identification sequences","301114","(Horizontal and vertical coordinates of launch site)",,"301021","Latitude/longitude (high accuracy)","Latitude (high accuracy), longitude (high accuracy)",,"Operational"
378.00,"01","Location and identification sequences","301114","(Horizontal and vertical coordinates of launch site)",,"007030","Height of station ground above mean sea level","Height of station ground above mean sea level",,"Operational"
379.00,"01","Location and identification sequences","301114","(Horizontal and vertical coordinates of launch site)",,"007031","Height of barometer above mean sea level","Height of barometer above mean sea level",,"Operational"
380.00,"01","Location and identification sequences","301114","(Horizontal and vertical coordinates of launch site)",,"007007","Height","Height of release of sonde above mean sea level",,"Operational"
381.00,"01","Location and identification sequences","301114","(Horizontal and vertical coordinates of launch site)",,"033024","Station elevation quality mark (for mobile stations)","Station elevation quality mark (for mobile stations)",,"Operational"
382.00,"01","Location and identification sequences","301120","(Radiosonde abbreviated header and launch information)",,"301001","WMO block and station numbers","WMO block and station number",,"Operational"
383.00,"01","Location and identification sequences","301120","(Radiosonde abbreviated header and launch information)",,"001094","WBAN number","WBAN number",,"Operational"
384.00,"01","Location and identification sequences","301120","(Radiosonde abbreviated header and launch information)",,"002011","Radiosonde type","Radiosonde type",,"Operational"
385.00,"01","Location and identification sequences","301120","(Radiosonde abbreviated header and launch information)",,"301121","Radiosonde launch point location","Radiosonde launch point location",,"Operational"
386.00,"01","Location and identification sequences","301121","(Radiosonde launch point location)",,"008041","Data significance","Data significance (3 = Balloon launch point)",,"Operational"
387.00,"01","Location and identification sequences","301121","(Radiosonde launch point location)",,"301122","Date/time (to hundredths of second)","Date/time (to hundredths of second)",,"Operational"
388.00,"01","Location and identification sequences","301121","(Radiosonde launch point location)",,"301021","Latitude/longitude (high accuracy)","Latitude and longitude (high accuracy)",,"Operational"
389.00,"01","Location and identification sequences","301121","(Radiosonde launch point location)",,"007031","Height of barometer above mean sea level","Height of barometer above MSL",,"Operational"
390.00,"01","Location and identification sequences","301121","(Radiosonde launch point location)",,"007007","Height","Height (of radiosonde release above MSL)",,"Operational"
391.00,"01","Location and identification sequences","301122","(Date/time (to hundredths of second))",,"301011","Year, month, day","Date","<(see Note 3)>","Operational"
392.00,"01","Location and identification sequences","301122","(Date/time (to hundredths of second))",,"301012","Hour, minute","Time",,"Operational"
393.00,"01","Location and identification sequences","301122","(Date/time (to hundredths of second))",,"201135","Change data width","Change data width",,"Operational"
394.00,"01","Location and identification sequences","301122","(Date/time (to hundredths of second))",,"202130","Change scale","Change scale",,"Operational"
395.00,"01","Location and identification sequences","301122","(Date/time (to hundredths of second))",,"004006","Second","Second",,"Operational"
396.00,"01","Location and identification sequences","301122","(Date/time (to hundredths of second))",,"202000","Change scale","Cancel change scale",,"Operational"
397.00,"01","Location and identification sequences","301122","(Date/time (to hundredths of second))",,"201000","Change data width","Cancel change data width",,"Operational"
399.00,"01","Location and identification sequences","301123","(Radiosonde full header information)",,"102002","Replicate 2 descriptors 2 times","Replicate 2 descriptors 2 times",,"Operational"
400.00,"01","Location and identification sequences","301123","(Radiosonde full header information)",,"008041","Data significance","Data significance (0 = Parent site, 1 = Observation site)",,"Operational"
401.00,"01","Location and identification sequences","301123","(Radiosonde full header information)",,"001062","Short ICAO location indicator","Short ICAO location identifier",,"Operational"
402.00,"01","Location and identification sequences","301123","(Radiosonde full header information)",,"301001","WMO block and station numbers","WMO block and station number",,"Operational"
403.00,"01","Location and identification sequences","301123","(Radiosonde full header information)",,"001094","WBAN number","WBAN number",,"Operational"
404.00,"01","Location and identification sequences","301123","(Radiosonde full header information)",,"002011","Radiosonde type","Radiosonde type",,"Operational"
405.00,"01","Location and identification sequences","301123","(Radiosonde full header information)",,"001018","Short station or site name","Short station or site name",,"Operational"
406.00,"01","Location and identification sequences","301123","(Radiosonde full header information)",,"001095","Observer identification","Observer identification",,"Operational"
407.00,"01","Location and identification sequences","301123","(Radiosonde full header information)",,"025061","Software identification and version number","Software identification",,"Operational"
408.00,"01","Location and identification sequences","301123","(Radiosonde full header information)",,"025068","Number of archive recomputes","Number of archive recomputes",,"Operational"
409.00,"01","Location and identification sequences","301123","(Radiosonde full header information)",,"001082","Radiosonde ascension number","Radiosonde ascension number",,"Operational"
410.00,"01","Location and identification sequences","301123","(Radiosonde full header information)",,"001083","Radiosonde release number","Radiosonde release number",,"Operational"
411.00,"01","Location and identification sequences","301123","(Radiosonde full header information)",,"001081","Radiosonde serial number","Radiosonde serial number",,"Operational"
412.00,"01","Location and identification sequences","301123","(Radiosonde full header information)",,"002067","Radiosonde operating frequency","Radiosonde operating frequency",,"Operational"
413.00,"01","Location and identification sequences","301123","(Radiosonde full header information)",,"002066","Radiosonde ground receiving system","Radiosonde ground receiving system",,"Operational"
414.00,"01","Location and identification sequences","301123","(Radiosonde full header information)",,"002014","Tracking technique/status of system used","Tracking technique/status of system used",,"Operational"
415.00,"01","Location and identification sequences","301123","(Radiosonde full header information)",,"025067","Radiosonde release point pressure correction","Release point pressure correction",,"Operational"
416.00,"01","Location and identification sequences","301123","(Radiosonde full header information)",,"025065","Orientation correction (azimuth)","Orientation correction (azimuth)",,"Operational"
417.00,"01","Location and identification sequences","301123","(Radiosonde full header information)",,"025066","Orientation correction (elevation)","Orientation correction (elevation)",,"Operational"
418.00,"01","Location and identification sequences","301123","(Radiosonde full header information)",,"002095","Type of pressure sensor","Type of pressure sensor",,"Operational"
419.00,"01","Location and identification sequences","301123","(Radiosonde full header information)",,"002096","Type of temperature sensor","Type of temperature sensor",,"Operational"
420.00,"01","Location and identification sequences","301123","(Radiosonde full header information)",,"002097","Type of humidity sensor","Type of humidity sensor",,"Operational"
421.00,"01","Location and identification sequences","301123","(Radiosonde full header information)",,"002016","Radiosonde configuration","Radiosonde configuration",,"Operational"
422.00,"01","Location and identification sequences","301123","(Radiosonde full header information)",,"002083","Type of balloon shelter","Type of balloon shelter",,"Operational"
423.00,"01","Location and identification sequences","301123","(Radiosonde full header information)",,"002080","Balloon manufacturer","Balloon manufacturer",,"Operational"
424.00,"01","Location and identification sequences","301123","(Radiosonde full header information)",,"002081","Type of balloon","Type of balloon",,"Operational"
425.00,"01","Location and identification sequences","301123","(Radiosonde full header information)",,"001093","Balloon lot number","Balloon lot number",,"Operational"
426.00,"01","Location and identification sequences","301123","(Radiosonde full header information)",,"002084","Type of gas used in balloon","Type of gas used in balloon",,"Operational"
427.00,"01","Location and identification sequences","301123","(Radiosonde full header information)",,"002085","Amount of gas used in balloon","Amount of gas used in balloon",,"Operational"
428.00,"01","Location and identification sequences","301123","(Radiosonde full header information)",,"002086","Balloon flight train length","Balloon flight train length",,"Operational"
429.00,"01","Location and identification sequences","301123","(Radiosonde full header information)",,"002082","Weight of balloon","Weight of balloon",,"Operational"
430.00,"01","Location and identification sequences","301123","(Radiosonde full header information)",,"008041","Data significance","Data significance (2 = Balloon manufacture date)",,"Operational"
431.00,"01","Location and identification sequences","301123","(Radiosonde full header information)",,"301011","Year, month, day","Date",,"Operational"
432.00,"01","Location and identification sequences","301125","(ASCAT header information)",,"001033","Identification of originating/generating centre","Identification of originating/generating centre",,"Operational"
433.00,"01","Location and identification sequences","301125","(ASCAT header information)",,"001034","Identification of originating/generating sub-centre","Identification of originating/generating sub-centre",,"Operational"
434.00,"01","Location and identification sequences","301125","(ASCAT header information)",,"025060","Software identification","Software identification",,"Operational"
435.00,"01","Location and identification sequences","301125","(ASCAT header information)",,"001007","Satellite identifier","Satellite identifier",,"Operational"
436.00,"01","Location and identification sequences","301125","(ASCAT header information)",,"002019","Satellite instruments","Satellite instruments",,"Operational"
437.00,"01","Location and identification sequences","301125","(ASCAT header information)",,"001012","Direction of motion of moving observing platform","Direction of motion of moving observing platform",,"Operational"
438.00,"02","Meteorological sequences common to surface data","302001","(Pressure and 3-hour pressure change)",,"010004","Pressure","Pressure (at station level)",,"Operational"
439.00,"02","Meteorological sequences common to surface data","302001","(Pressure and 3-hour pressure change)",,"010051","Pressure reduced to mean sea level","Pressure reduced to mean sea level",,"Operational"
440.00,"02","Meteorological sequences common to surface data","302001","(Pressure and 3-hour pressure change)",,"010061","3-hour pressure change","3-hour pressure change",,"Operational"
441.00,"02","Meteorological sequences common to surface data","302001","(Pressure and 3-hour pressure change)",,"010063","Characteristic of pressure tendency","Characteristic of pressure tendency",,"Operational"
442.00,"02","Meteorological sequences common to surface data","302002","(High altitude station)",,"010004","Pressure","Pressure (at station level)",,"Operational"
443.00,"02","Meteorological sequences common to surface data","302002","(High altitude station)",,"007004","Pressure","Pressure level",,"Operational"
444.00,"02","Meteorological sequences common to surface data","302002","(High altitude station)",,"010003","Geopotential","Geopotential of pressure level",,"Operational"
445.00,"02","Meteorological sequences common to surface data","302002","(High altitude station)",,"010061","3-hour pressure change","3-hour pressure change",,"Operational"
446.00,"02","Meteorological sequences common to surface data","302002","(High altitude station)",,"010063","Characteristic of pressure tendency","Characteristic of pressure tendency",,"Operational"
447.00,"02","Meteorological sequences common to surface data","302003","(Wind, temperature, humidity, visibility, weather)",,"011011","Wind direction at 10 m","Wind direction (10 m)",,"Operational"
448.00,"02","Meteorological sequences common to surface data","302003","(Wind, temperature, humidity, visibility, weather)",,"011012","Wind speed at 10 m","Wind speed (10 m)",,"Operational"
449.00,"02","Meteorological sequences common to surface data","302003","(Wind, temperature, humidity, visibility, weather)",,"012004","Air temperature at 2 m","Temperature (2 m)",,"Operational"
450.00,"02","Meteorological sequences common to surface data","302003","(Wind, temperature, humidity, visibility, weather)",,"012006","Dew-point temperature at 2 m","Dew point (2 m)",,"Operational"
451.00,"02","Meteorological sequences common to surface data","302003","(Wind, temperature, humidity, visibility, weather)",,"013003","Relative humidity","Relative humidity",,"Operational"
452.00,"02","Meteorological sequences common to surface data","302003","(Wind, temperature, humidity, visibility, weather)",,"020001","Horizontal visibility","Horizontal visibility",,"Operational"
453.00,"02","Meteorological sequences common to surface data","302003","(Wind, temperature, humidity, visibility, weather)",,"020003","Present weather","Present weather",,"Operational"
454.00,"02","Meteorological sequences common to surface data","302003","(Wind, temperature, humidity, visibility, weather)",,"020004","Past weather (1)","Past weather (1)",,"Operational"
455.00,"02","Meteorological sequences common to surface data","302003","(Wind, temperature, humidity, visibility, weather)",,"020005","Past weather (2)","Past weather (2)",,"Operational"
456.00,"02","Meteorological sequences common to surface data","302004","(General cloud information)",,"020010","Cloud cover (total)","Cloud cover (total in per cent)",,"Operational"
457.00,"02","Meteorological sequences common to surface data","302004","(General cloud information)",,"008002","Vertical significance (surface observations)","Vertical significance",,"Operational"
458.00,"02","Meteorological sequences common to surface data","302004","(General cloud information)",,"020011","Cloud amount","Cloud amount",,"Operational"
459.00,"02","Meteorological sequences common to surface data","302004","(General cloud information)",,"020013","Height of base of cloud","Height of base of cloud",,"Operational"
460.00,"02","Meteorological sequences common to surface data","302004","(General cloud information)",,"020012","Cloud type","Cloud type",,"Operational"
461.00,"02","Meteorological sequences common to surface data","302004","(General cloud information)",,"020012","Cloud type","Cloud type",,"Operational"
462.00,"02","Meteorological sequences common to surface data","302004","(General cloud information)",,"020012","Cloud type","Cloud type",,"Operational"
463.00,"02","Meteorological sequences common to surface data","302005","(Cloud layer)",,"008002","Vertical significance (surface observations)","Vertical significance",,"Operational"
464.00,"02","Meteorological sequences common to surface data","302005","(Cloud layer)",,"020011","Cloud amount","Cloud amount",,"Operational"
465.00,"02","Meteorological sequences common to surface data","302005","(Cloud layer)",,"020012","Cloud type","Cloud type",,"Operational"
466.00,"02","Meteorological sequences common to surface data","302005","(Cloud layer)",,"020013","Height of base of cloud","Height of base of cloud",,"Operational"
467.00,"02","Meteorological sequences common to surface data","302006","(Pressure and 24-hour pressure change)",,"010004","Pressure","Pressure (at station level)",,"Operational"
468.00,"02","Meteorological sequences common to surface data","302006","(Pressure and 24-hour pressure change)",,"010051","Pressure reduced to mean sea level","Pressure reduced to mean sea level",,"Operational"
469.00,"02","Meteorological sequences common to surface data","302006","(Pressure and 24-hour pressure change)",,"010062","24-hour pressure change","24-hour pressure change",,"Operational"
470.00,"02","Meteorological sequences common to surface data","302006","(Pressure and 24-hour pressure change)",,"010063","Characteristic of pressure tendency","Characteristic of pressure tendency",,"Operational"
471.00,"02","Meteorological sequences common to surface data","302011","(Low altitude station)",,"302001","Pressure and 3-hour pressure change","Pressure and pressure change",,"Operational"
472.00,"02","Meteorological sequences common to surface data","302011","(Low altitude station)",,"302003","Wind, temperature, humidity, visibility, weather","Wind, temperature, humidity, visibility, weather",,"Operational"
473.00,"02","Meteorological sequences common to surface data","302011","(Low altitude station)",,"302004","General cloud information","Significant cloud layer",,"Operational"
474.00,"02","Meteorological sequences common to surface data","302012","(High altitude station)",,"302002","High altitude station","Pressure and pressure change",,"Operational"
475.00,"02","Meteorological sequences common to surface data","302012","(High altitude station)",,"302003","Wind, temperature, humidity, visibility, weather","Wind, temperature, humidity, visibility, weather",,"Operational"
476.00,"02","Meteorological sequences common to surface data","302012","(High altitude station)",,"302004","General cloud information","Significant cloud information",,"Operational"
477.00,"02","Meteorological sequences common to surface data","302013","(Basic surface report)",,"302006","Pressure and 24-hour pressure change","Pressure and pressure change",,"Operational"
478.00,"02","Meteorological sequences common to surface data","302013","(Basic surface report)",,"302003","Wind, temperature, humidity, visibility, weather","Wind, temperature, humidity, visibility, weather",,"Operational"
479.00,"02","Meteorological sequences common to surface data","302013","(Basic surface report)",,"101000","Delayed replication of 1 descriptor","Delayed replication of 1 descriptor",,"Operational"
480.00,"02","Meteorological sequences common to surface data","302013","(Basic surface report)",,"031001","Delayed descriptor replication factor","Delayed descriptor replication factor",,"Operational"
481.00,"02","Meteorological sequences common to surface data","302013","(Basic surface report)",,"302005","Cloud layer","Cloud layer information",,"Operational"
486.00,"02","Meteorological sequences common to surface data","302021","(Waves)",,"022001","Direction of waves","Direction of waves",,"Operational"
487.00,"02","Meteorological sequences common to surface data","302021","(Waves)",,"022011","Period of waves","Period of waves",,"Operational"
488.00,"02","Meteorological sequences common to surface data","302021","(Waves)",,"022021","Height of waves","Height of waves",,"Operational"
489.00,"02","Meteorological sequences common to surface data","302022","(Wind waves)",,"022002","Direction of wind waves","Direction of wind waves",,"Operational"
490.00,"02","Meteorological sequences common to surface data","302022","(Wind waves)",,"022012","Period of wind waves","Period of wind waves",,"Operational"
491.00,"02","Meteorological sequences common to surface data","302022","(Wind waves)",,"022022","Height of wind waves","Height of wind waves",,"Operational"
492.00,"02","Meteorological sequences common to surface data","302023","(Swell waves)",,"022003","Direction of swell waves","Direction of swell waves",,"Operational"
493.00,"02","Meteorological sequences common to surface data","302023","(Swell waves)",,"022013","Period of swell waves","Period of swell waves",,"Operational"
494.00,"02","Meteorological sequences common to surface data","302023","(Swell waves)",,"022023","Height of swell waves","Height of swell waves",,"Operational"
495.00,"02","Meteorological sequences common to surface data","302024","(Wind and swell waves)",,"302022","Wind waves","Wind waves",,"Operational"
496.00,"02","Meteorological sequences common to surface data","302024","(Wind and swell waves)",,"101002","Replicate 1 descriptor 2 times","Replicate 1 descriptor 2 times",,"Operational"
497.00,"02","Meteorological sequences common to surface data","302024","(Wind and swell waves)",,"302023","Swell waves","Swell waves (2 systems of swell)",,"Operational"
498.00,"02","Meteorological sequences common to surface data","302031","(Pressure information)",,"302001","Pressure and 3-hour pressure change","Pressure data",,"Operational"
499.00,"02","Meteorological sequences common to surface data","302031","(Pressure information)",,"010062","24-hour pressure change","24-hour pressure change",,"Operational"
500.00,"02","Meteorological sequences common to surface data","302031","(Pressure information)",,"007004","Pressure","Pressure (standard level)",,"Operational"
501.00,"02","Meteorological sequences common to surface data","302031","(Pressure information)",,"010009","Geopotential height","Geopotential height of the standard level",,"Operational"
502.00,"02","Meteorological sequences common to surface data","302032","(Temperature and humidity data)",,"007032","Height of sensor above local ground (or deck of marine platform)","Height of sensor above local ground (for temperature and humidity measurement)",,"Operational"
503.00,"02","Meteorological sequences common to surface data","302032","(Temperature and humidity data)",,"012101","Temperature/air temperature","Temperature/air temperature (scale 2)",,"Operational"
504.00,"02","Meteorological sequences common to surface data","302032","(Temperature and humidity data)",,"012103","Dew-point temperature","Dew-point temperature (scale 2)",,"Operational"
505.00,"02","Meteorological sequences common to surface data","302032","(Temperature and humidity data)",,"013003","Relative humidity","Relative humidity",,"Operational"
506.00,"02","Meteorological sequences common to surface data","302033","(Visibility data)",,"007032","Height of sensor above local ground (or deck of marine platform)","Height of sensor above local ground (for visibility measurement)",,"Operational"
507.00,"02","Meteorological sequences common to surface data","302033","(Visibility data)",,"020001","Horizontal visibility","Horizontal visibility",,"Operational"
508.00,"02","Meteorological sequences common to surface data","302034","(Precipitation past 24 hours)",,"007032","Height of sensor above local ground (or deck of marine platform)","Height of sensor above local ground (for precipitation measurement)",,"Operational"
509.00,"02","Meteorological sequences common to surface data","302034","(Precipitation past 24 hours)",,"013023","Total precipitation past 24 hours","Total precipitation past 24 hours",,"Operational"
510.00,"02","Meteorological sequences common to surface data","302035","(Basic synoptic ""instantaneous"" data)",,"302032","Temperature and humidity data","Temperature and humidity data",,"Operational"
511.00,"02","Meteorological sequences common to surface data","302035","(Basic synoptic ""instantaneous"" data)",,"302033","Visibility data","Visibility data",,"Operational"
512.00,"02","Meteorological sequences common to surface data","302035","(Basic synoptic ""instantaneous"" data)",,"302034","Precipitation past 24 hours","Precipitation past 24 hours",,"Operational"
513.00,"02","Meteorological sequences common to surface data","302035","(Basic synoptic ""instantaneous"" data)",,"007032","Height of sensor above local ground (or deck of marine platform)","Height of sensor above local ground (set to missing to cancel the previous value)",,"Operational"
514.00,"02","Meteorological sequences common to surface data","302035","(Basic synoptic ""instantaneous"" data)",,"302004","General cloud information","Cloud data",,"Operational"
515.00,"02","Meteorological sequences common to surface data","302035","(Basic synoptic ""instantaneous"" data)",,"101000","Delayed replication of 1 descriptor","Delayed replication",,"Operational"
516.00,"02","Meteorological sequences common to surface data","302035","(Basic synoptic ""instantaneous"" data)",,"031001","Delayed descriptor replication factor","Delayed descriptor replication factor",,"Operational"
517.00,"02","Meteorological sequences common to surface data","302035","(Basic synoptic ""instantaneous"" data)",,"302005","Cloud layer","Individual cloud layer or mass",,"Operational"
519.00,"02","Meteorological sequences common to surface data","302036","(Clouds with bases below station level)",,"105000","Delayed replication of 5 descriptors","Delayed replication of 5 descriptors",,"Operational"
520.00,"02","Meteorological sequences common to surface data","302036","(Clouds with bases below station level)",,"031001","Delayed descriptor replication factor","Delayed descriptor replication factor",,"Operational"
521.00,"02","Meteorological sequences common to surface data","302036","(Clouds with bases below station level)",,"008002","Vertical significance (surface observations)","Vertical significance",,"Operational"
522.00,"02","Meteorological sequences common to surface data","302036","(Clouds with bases below station level)",,"020011","Cloud amount","Cloud amount",,"Operational"
523.00,"02","Meteorological sequences common to surface data","302036","(Clouds with bases below station level)",,"020012","Cloud type","Cloud type",,"Operational"
524.00,"02","Meteorological sequences common to surface data","302036","(Clouds with bases below station level)",,"020014","Height of top of cloud","Height of top of cloud",,"Operational"
525.00,"02","Meteorological sequences common to surface data","302036","(Clouds with bases below station level)",,"020017","Cloud top description","Cloud top description",,"Operational"
527.00,"02","Meteorological sequences common to surface data","302037","(State of ground, snow depth, ground minimum temperature)",,"020062","State of the ground (with or without snow)","State of ground (with or without snow)",,"Operational"
528.00,"02","Meteorological sequences common to surface data","302037","(State of ground, snow depth, ground minimum temperature)",,"013013","Total snow depth","Total snow depth",,"Operational"
529.00,"02","Meteorological sequences common to surface data","302037","(State of ground, snow depth, ground minimum temperature)",,"012113","Ground minimum temperature, past 12 hours","Ground minimum temperature (scale 2), past 12 hours",,"Operational"
530.00,"02","Meteorological sequences common to surface data","302038","(Present and past weather)",,"020003","Present weather","Present weather",,"Operational"
531.00,"02","Meteorological sequences common to surface data","302038","(Present and past weather)",,"004024","Time period or displacement","Time period in hours",,"Operational"
532.00,"02","Meteorological sequences common to surface data","302038","(Present and past weather)",,"020004","Past weather (1)","Past weather (1)",,"Operational"
533.00,"02","Meteorological sequences common to surface data","302038","(Present and past weather)",,"020005","Past weather (2)","Past weather (2)",,"Operational"
534.00,"02","Meteorological sequences common to surface data","302039","(Sunshine data (from 1 hour and 24 hour period))",,"004024","Time period or displacement","Time period in hours",,"Operational"
535.00,"02","Meteorological sequences common to surface data","302039","(Sunshine data (from 1 hour and 24 hour period))",,"014031","Total sunshine","Total sunshine",,"Operational"
536.00,"02","Meteorological sequences common to surface data","302040","(Precipitation measurement)",,"007032","Height of sensor above local ground (or deck of marine platform)","Height of sensor above local ground (for precipitation measurement)",,"Operational"
537.00,"02","Meteorological sequences common to surface data","302040","(Precipitation measurement)",,"102002","Replicate 2 descriptors 2 times","Replicate next 2 descriptors 2 times",,"Operational"
538.00,"02","Meteorological sequences common to surface data","302040","(Precipitation measurement)",,"004024","Time period or displacement","Time period in hours",,"Operational"
539.00,"02","Meteorological sequences common to surface data","302040","(Precipitation measurement)",,"013011","Total precipitation/total water equivalent","Total precipitation / total water equivalent of snow",,"Operational"
540.00,"02","Meteorological sequences common to surface data","302041","(Extreme temperature data)",,"007032","Height of sensor above local ground (or deck of marine platform)","Height of sensor above local ground (for temperature measurement)",,"Operational"
541.00,"02","Meteorological sequences common to surface data","302041","(Extreme temperature data)",,"004024","Time period or displacement","Time period or displacement",,"Operational"
542.00,"02","Meteorological sequences common to surface data","302041","(Extreme temperature data)",,"004024","Time period or displacement","Time period or displacement","(see Notes 1 and 2)","Operational"
543.00,"02","Meteorological sequences common to surface data","302041","(Extreme temperature data)",,"012111","Maximum temperature, at height and over period specified","Maximum temperature (scale 2) at height and over period specified",,"Operational"
544.00,"02","Meteorological sequences common to surface data","302041","(Extreme temperature data)",,"004024","Time period or displacement","Time period or displacement",,"Operational"
545.00,"02","Meteorological sequences common to surface data","302041","(Extreme temperature data)",,"004024","Time period or displacement","Time period or displacement","(see Note 2)","Operational"
546.00,"02","Meteorological sequences common to surface data","302041","(Extreme temperature data)",,"012112","Minimum temperature, at height and over period specified","Minimum temperature (scale 2) at height and over period specified",,"Operational"
547.00,"02","Meteorological sequences common to surface data","302042","(Wind data)",,"007032","Height of sensor above local ground (or deck of marine platform)","Height of sensor above local ground (for wind measurement)",,"Operational"
548.00,"02","Meteorological sequences common to surface data","302042","(Wind data)",,"002002","Type of instrumentation for wind measurement","Type of instrumentation for wind measurement",,"Operational"
549.00,"02","Meteorological sequences common to surface data","302042","(Wind data)",,"008021","Time significance","Time significance (= 2 (time averaged))",,"Operational"
550.00,"02","Meteorological sequences common to surface data","302042","(Wind data)",,"004025","Time period or displacement","Time period (= -10 minutes, or number of minutes after a significant change of wind)",,"Operational"
551.00,"02","Meteorological sequences common to surface data","302042","(Wind data)",,"011001","Wind direction","Wind direction",,"Operational"
552.00,"02","Meteorological sequences common to surface data","302042","(Wind data)",,"011002","Wind speed","Wind speed",,"Operational"
553.00,"02","Meteorological sequences common to surface data","302042","(Wind data)",,"008021","Time significance","Time significance (= missing value)",,"Operational"
554.00,"02","Meteorological sequences common to surface data","302042","(Wind data)",,"103002","Replicate 3 descriptors 2 times","Replicate next 3 descriptors 2 times",,"Operational"
555.00,"02","Meteorological sequences common to surface data","302042","(Wind data)",,"004025","Time period or displacement","Time period in minutes",,"Operational"
556.00,"02","Meteorological sequences common to surface data","302042","(Wind data)",,"011043","Maximum wind gust direction","Maximum wind gust direction",,"Operational"
557.00,"02","Meteorological sequences common to surface data","302042","(Wind data)",,"011041","Maximum wind gust speed","Maximum wind gust speed",,"Operational"
558.00,"02","Meteorological sequences common to surface data","302043","(Basic synoptic ""period"" data)",,"302038","Present and past weather","Present and past weather",,"Operational"
559.00,"02","Meteorological sequences common to surface data","302043","(Basic synoptic ""period"" data)",,"101002","Replicate 1 descriptor 2 times","Replicate 1 descriptor 2 times",,"Operational"
560.00,"02","Meteorological sequences common to surface data","302043","(Basic synoptic ""period"" data)",,"302039","Sunshine data (from 1 hour and 24 hour period)","Sunshine data (from 1 hour and 24 hour period)",,"Operational"
561.00,"02","Meteorological sequences common to surface data","302043","(Basic synoptic ""period"" data)",,"302040","Precipitation measurement","Precipitation measurement",,"Operational"
562.00,"02","Meteorological sequences common to surface data","302043","(Basic synoptic ""period"" data)",,"302041","Extreme temperature data","Extreme temperature data",,"Operational"
563.00,"02","Meteorological sequences common to surface data","302043","(Basic synoptic ""period"" data)",,"302042","Wind data","Wind data",,"Operational"
564.00,"02","Meteorological sequences common to surface data","302043","(Basic synoptic ""period"" data)",,"007032","Height of sensor above local ground (or deck of marine platform)","Height of sensor above local ground (set to missing to cancel the previous value)",,"Operational"
565.00,"02","Meteorological sequences common to surface data","302044","(Evaporation data)",,"004024","Time period or displacement","Time period in hours",,"Operational"
566.00,"02","Meteorological sequences common to surface data","302044","(Evaporation data)",,"002004","Type of instrumentation for evaporation measurement or type of crop for which evapotranspiration is reported","Type of instrument for evaporation or crop type for evapotranspiration",,"Operational"
567.00,"02","Meteorological sequences common to surface data","302044","(Evaporation data)",,"013033","Evaporation/evapotranspiration","Evaporation /evapotranspiration",,"Operational"
568.00,"02","Meteorological sequences common to surface data","302045","(Radiation data (from 1 hour and 24 hour period))",,"004024","Time period or displacement","Time period in hours",,"Operational"
569.00,"02","Meteorological sequences common to surface data","302045","(Radiation data (from 1 hour and 24 hour period))",,"014002","Long-wave radiation, integrated over period specified","Long-wave radiation, integrated over period specified",,"Operational"
570.00,"02","Meteorological sequences common to surface data","302045","(Radiation data (from 1 hour and 24 hour period))",,"014004","Short-wave radiation, integrated over period specified","Short-wave radiation, integrated over period specified",,"Operational"
