"No","Category","CategoryOfSequences_en","FXY1","Title_en","SubTitle_en","FXY2","ElementName_en","ExistingElementName_en","Note_en","Status"
918.00,"02","Meteorological sequences common to surface data","D02079","(Precipitation measurement)",,"B02178","Method of liquid content measurement of precipitation","Method of liquid water content measurement of precipitation",,"Operational"
919.00,"02","Meteorological sequences common to surface data","D02079","(Precipitation measurement)",,"B04025","Time period or displacement","Time period",,"Operational"
920.00,"02","Meteorological sequences common to surface data","D02079","(Precipitation measurement)",,"B13011","Total precipitation/total water equivalent","Total precipitation/total water equivalent of snow",,"Operational"
921.00,"02","Meteorological sequences common to surface data","D02080","(Evaporation measurement)",,"B02185","Method of evaporation measurement","Method of evaporation measurement",,"Operational"
922.00,"02","Meteorological sequences common to surface data","D02080","(Evaporation measurement)",,"B04025","Time period or displacement","Time period",,"Operational"
923.00,"02","Meteorological sequences common to surface data","D02080","(Evaporation measurement)",,"B13033","Evaporation/evapotranspiration","Evaporation/evapotranspiration",,"Operational"
924.00,"02","Meteorological sequences common to surface data","D02081","(Total sunshine data)",,"B04025","Time period or displacement","Time period",,"Operational"
925.00,"02","Meteorological sequences common to surface data","D02081","(Total sunshine data)",,"B14031","Total sunshine","Total sunshine",,"Operational"
926.00,"02","Meteorological sequences common to surface data","D02082","(Radiation data)",,"B04025","Time period or displacement","Time period",,"Operational"
927.00,"02","Meteorological sequences common to surface data","D02082","(Radiation data)",,"B14002","Long-wave radiation, integrated over period specified","Long-wave radiation, integrated over period specified",,"Operational"
928.00,"02","Meteorological sequences common to surface data","D02082","(Radiation data)",,"B14004","Short-wave radiation, integrated over period specified","Short-wave radiation, integrated over period specified",,"Operational"
929.00,"02","Meteorological sequences common to surface data","D02082","(Radiation data)",,"B14016","Net radiation, integrated over period specified","Net radiation, integrated over period specified",,"Operational"
930.00,"02","Meteorological sequences common to surface data","D02082","(Radiation data)",,"B14028","Global solar radiation (high accuracy), integrated over period specified","Global solar radiation (high accuracy), integrated over period specified",,"Operational"
931.00,"02","Meteorological sequences common to surface data","D02082","(Radiation data)",,"B14029","Diffuse solar radiation (high accuracy), integrated over period specified","Diffuse solar radiation (high accuracy), integrated over period specified",,"Operational"
932.00,"02","Meteorological sequences common to surface data","D02082","(Radiation data)",,"B14030","Direct solar radiation (high accuracy), integrated over period specified","Direct solar radiation (high accuracy), integrated over period specified",,"Operational"
933.00,"02","Meteorological sequences common to surface data","D02083","(First-order statistics of P, W, T, U data)",,"B04025","Time period or displacement","Time period",,"Operational"
934.00,"02","Meteorological sequences common to surface data","D02083","(First-order statistics of P, W, T, U data)",,"B08023","First-order statistics","First-order statistics",,"Operational"
935.00,"02","Meteorological sequences common to surface data","D02083","(First-order statistics of P, W, T, U data)",,"B10004","Pressure","Pressure",,"Operational"
936.00,"02","Meteorological sequences common to surface data","D02083","(First-order statistics of P, W, T, U data)",,"B11001","Wind direction","Wind direction",,"Operational"
937.00,"02","Meteorological sequences common to surface data","D02083","(First-order statistics of P, W, T, U data)",,"B11002","Wind speed","Wind speed",,"Operational"
938.00,"02","Meteorological sequences common to surface data","D02083","(First-order statistics of P, W, T, U data)",,"B12101","Temperature/air temperature","Temperature/air temperature (scale 2)",,"Operational"
939.00,"02","Meteorological sequences common to surface data","D02083","(First-order statistics of P, W, T, U data)",,"B13003","Relative humidity","Relative humidity",,"Operational"
940.00,"02","Meteorological sequences common to surface data","D02083","(First-order statistics of P, W, T, U data)",,"B08023","First-order statistics","First-order statistics (= missing value)",,"Operational"
1047.00,"02","Meteorological sequences common to surface data","D02089","(Locust information)",,"B20101","Locust (acridian) name","Locust (acridian) name                                                     Ln",,"Operational"
1048.00,"02","Meteorological sequences common to surface data","D02089","(Locust information)",,"B20102","Locust (maturity) colour","Locust (maturity) colour                                                      Lc",,"Operational"
1049.00,"02","Meteorological sequences common to surface data","D02089","(Locust information)",,"B20103","Stage of development of locusts","Stage of development of locusts                                  Ld",,"Operational"
1050.00,"02","Meteorological sequences common to surface data","D02089","(Locust information)",,"B20104","Organization state of swarm or band of locusts","Organization state of swarm or band of locusts      Lg",,"Operational"
1051.00,"02","Meteorological sequences common to surface data","D02089","(Locust information)",,"B20105","Size of swarm or band of locusts and duration of passage of swarm","Size of swarm or band of locusts and duration of passage of swarm    sL",,"Operational"
1052.00,"02","Meteorological sequences common to surface data","D02089","(Locust information)",,"B20106","Locust population density","Locust population density                                             dL",,"Operational"
1053.00,"02","Meteorological sequences common to surface data","D02089","(Locust information)",,"B20107","Direction of movements of locust swarm","Direction of movements of locust swarm                 DL",,"Operational"
1054.00,"02","Meteorological sequences common to surface data","D02089","(Locust information)",,"B20108","Extent of vegetation","Extent of vegetation                                                        ve",,"Operational"
1055.00,"02","Meteorological sequences common to surface data","D02090","(Sea/water temperature high precision)",,"B02038","Method of water temperature and/or salinity measurement","Method of sea/water temperature measurement",,"Operational"
1056.00,"02","Meteorological sequences common to surface data","D02090","(Sea/water temperature high precision)",,"B07063","Depth below sea/water surface (cm)","Depth below sea/water surface (cm).  For sea surface temperature measurement",,"Operational"
1057.00,"02","Meteorological sequences common to surface data","D02090","(Sea/water temperature high precision)",,"B22045","Sea/water temperature","Sea/water temperature",,"Operational"
1058.00,"02","Meteorological sequences common to surface data","D02175","(Intensity of precipitation, size of precipitation element)",,"B08021","Time significance","Time significance",,"Operational"
1059.00,"02","Meteorological sequences common to surface data","D02175","(Intensity of precipitation, size of precipitation element)",,"B04025","Time period or displacement","Time period or displacement",,"Operational"
1060.00,"02","Meteorological sequences common to surface data","D02175","(Intensity of precipitation, size of precipitation element)",,"B13155","Intensity of precipitation (high accuracy)","Intensity of precipitation (high accuracy)",,"Operational"
1061.00,"02","Meteorological sequences common to surface data","D02175","(Intensity of precipitation, size of precipitation element)",,"B13058","Size of precipitating element","Size of precipitating element",,"Operational"
1062.00,"02","Meteorological sequences common to surface data","D02175","(Intensity of precipitation, size of precipitation element)",,"B08021","Time significance","Time significance",,"Operational"
1063.00,"03","Meteorological sequences common to vertical soundings data","D03001",,,"B07003","Geopotential","Geopotential",,"Operational"
1064.00,"03","Meteorological sequences common to vertical soundings data","D03001",,,"B11001","Wind direction","Wind direction",,"Operational"
1065.00,"03","Meteorological sequences common to vertical soundings data","D03001",,,"B11002","Wind speed","Wind speed",,"Operational"
1066.00,"03","Meteorological sequences common to vertical soundings data","D03002","(Wind at pressure level)",,"B07004","Pressure","Pressure",,"Operational"
1067.00,"03","Meteorological sequences common to vertical soundings data","D03002","(Wind at pressure level)",,"B11001","Wind direction","Wind direction",,"Operational"
1068.00,"03","Meteorological sequences common to vertical soundings data","D03002","(Wind at pressure level)",,"B11002","Wind speed","Wind speed",,"Operational"
1069.00,"03","Meteorological sequences common to vertical soundings data","D03003",,,"B07004","Pressure","Pressure",,"Operational"
1070.00,"03","Meteorological sequences common to vertical soundings data","D03003",,,"B10003","Geopotential","Geopotential",,"Operational"
1071.00,"03","Meteorological sequences common to vertical soundings data","D03003",,,"B12001","Temperature/air temperature","Temperature",,"Operational"
1072.00,"03","Meteorological sequences common to vertical soundings data","D03003",,,"B12003","Dewpoint temperature","Dew point",,"Operational"
1073.00,"03","Meteorological sequences common to vertical soundings data","D03004",,,"B07004","Pressure","Pressure",,"Operational"
1074.00,"03","Meteorological sequences common to vertical soundings data","D03004",,,"B10003","Geopotential","Geopotential",,"Operational"
1075.00,"03","Meteorological sequences common to vertical soundings data","D03004",,,"B12001","Temperature/air temperature","Temperature",,"Operational"
1076.00,"03","Meteorological sequences common to vertical soundings data","D03004",,,"B12003","Dewpoint temperature","Dew point",,"Operational"
1077.00,"03","Meteorological sequences common to vertical soundings data","D03004",,,"B11001","Wind direction","Wind direction",,"Operational"
1078.00,"03","Meteorological sequences common to vertical soundings data","D03004",,,"B11002","Wind speed","Wind speed",,"Operational"
1079.00,"03","Meteorological sequences common to vertical soundings data","D03011","(Wind at height)",,"B07003","Geopotential","Geopotential",,"Operational"
1080.00,"03","Meteorological sequences common to vertical soundings data","D03011","(Wind at height)",,"B08001","Vertical sounding significance","Vertical sounding significance",,"Operational"
1081.00,"03","Meteorological sequences common to vertical soundings data","D03011","(Wind at height)",,"B11001","Wind direction","Wind direction",,"Operational"
1082.00,"03","Meteorological sequences common to vertical soundings data","D03011","(Wind at height)",,"B11002","Wind speed","Wind speed",,"Operational"
1083.00,"03","Meteorological sequences common to vertical soundings data","D03012","(Wind at pressure level)",,"B07004","Pressure","Pressure",,"Operational"
1084.00,"03","Meteorological sequences common to vertical soundings data","D03012","(Wind at pressure level)",,"B08001","Vertical sounding significance","Vertical sounding significance",,"Operational"
1085.00,"03","Meteorological sequences common to vertical soundings data","D03012","(Wind at pressure level)",,"B11001","Wind direction","Wind direction",,"Operational"
1086.00,"03","Meteorological sequences common to vertical soundings data","D03012","(Wind at pressure level)",,"B11002","Wind speed","Wind speed",,"Operational"
1087.00,"03","Meteorological sequences common to vertical soundings data","D03013","(Geopotential, temperature, humidity, wind at pressure level)",,"B07004","Pressure","Pressure",,"Operational"
1088.00,"03","Meteorological sequences common to vertical soundings data","D03013","(Geopotential, temperature, humidity, wind at pressure level)",,"B08001","Vertical sounding significance","Vertical sounding significance",,"Operational"
1089.00,"03","Meteorological sequences common to vertical soundings data","D03013","(Geopotential, temperature, humidity, wind at pressure level)",,"B10003","Geopotential","Geopotential",,"Operational"
1090.00,"03","Meteorological sequences common to vertical soundings data","D03013","(Geopotential, temperature, humidity, wind at pressure level)",,"B12001","Temperature/air temperature","Temperature",,"Operational"
1091.00,"03","Meteorological sequences common to vertical soundings data","D03013","(Geopotential, temperature, humidity, wind at pressure level)",,"B13003","Relative humidity","Relative humidity",,"Operational"
1092.00,"03","Meteorological sequences common to vertical soundings data","D03013","(Geopotential, temperature, humidity, wind at pressure level)",,"B11001","Wind direction","Wind direction",,"Operational"
1093.00,"03","Meteorological sequences common to vertical soundings data","D03013","(Geopotential, temperature, humidity, wind at pressure level)",,"B11002","Wind speed","Wind speed",,"Operational"
1094.00,"03","Meteorological sequences common to vertical soundings data","D03014","(Geopotential, temperature, dewpoint temperature, wind at pressure level)",,"B07004","Pressure","Pressure",,"Operational"
1095.00,"03","Meteorological sequences common to vertical soundings data","D03014","(Geopotential, temperature, dewpoint temperature, wind at pressure level)",,"B08001","Vertical sounding significance","Vertical sounding significance",,"Operational"
1096.00,"03","Meteorological sequences common to vertical soundings data","D03014","(Geopotential, temperature, dewpoint temperature, wind at pressure level)",,"B10003","Geopotential","Geopotential",,"Operational"
1097.00,"03","Meteorological sequences common to vertical soundings data","D03014","(Geopotential, temperature, dewpoint temperature, wind at pressure level)",,"B12001","Temperature/air temperature","Temperature",,"Operational"
1098.00,"03","Meteorological sequences common to vertical soundings data","D03014","(Geopotential, temperature, dewpoint temperature, wind at pressure level)",,"B12003","Dewpoint temperature","Dew point",,"Operational"
1099.00,"03","Meteorological sequences common to vertical soundings data","D03014","(Geopotential, temperature, dewpoint temperature, wind at pressure level)",,"B11001","Wind direction","Wind direction",,"Operational"
1100.00,"03","Meteorological sequences common to vertical soundings data","D03014","(Geopotential, temperature, dewpoint temperature, wind at pressure level)",,"B11002","Wind speed","Wind speed",,"Operational"
1137.00,"03","Meteorological sequences common to vertical soundings data","D03031","(Significance data, land/sea, skin temperature)",,"B07004","Pressure","Pressure",,"Operational"
1138.00,"03","Meteorological sequences common to vertical soundings data","D03031","(Significance data, land/sea, skin temperature)",,"B08003","Vertical significance (satellite observations)","Vertical significance (base of sounding)",,"Operational"
1139.00,"03","Meteorological sequences common to vertical soundings data","D03031","(Significance data, land/sea, skin temperature)",,"B07021","Elevation","Elevation (local zenith)",,"Operational"
1140.00,"03","Meteorological sequences common to vertical soundings data","D03031","(Significance data, land/sea, skin temperature)",,"B07022","Solar elevation","Solar elevation (solar zenith)",,"Operational"
1141.00,"03","Meteorological sequences common to vertical soundings data","D03031","(Significance data, land/sea, skin temperature)",,"B08012","Land/sea qualifier","Land/sea qualifier",,"Operational"
1142.00,"03","Meteorological sequences common to vertical soundings data","D03031","(Significance data, land/sea, skin temperature)",,"B12061","Skin temperature","Skin temperature",,"Operational"
1143.00,"03","Meteorological sequences common to vertical soundings data","D03032","(Cloud)",,"B20011","Cloud amount","Cloud amount",,"Operational"
1144.00,"03","Meteorological sequences common to vertical soundings data","D03032","(Cloud)",,"B20016","Pressure at top of cloud","Pressure at top of cloud",,"Operational"
1145.00,"03","Meteorological sequences common to vertical soundings data","D03033","(Cloud)",,"B20010","Cloud cover (total)","Cloud cover (total)",,"Operational"
1146.00,"03","Meteorological sequences common to vertical soundings data","D03033","(Cloud)",,"B20016","Pressure at top of cloud","Pressure at the top of cloud",,"Operational"
1166.00,"03","Meteorological sequences common to vertical soundings data","D03041","(Wind sequence)",,"B02152","Satellite instrument used in data processing","Geostationary satellite instrument used",,"Operational"
1167.00,"03","Meteorological sequences common to vertical soundings data","D03041","(Wind sequence)",,"B02023","Satellite-derived wind computation method","Cloud motion computational method",,"Operational"
1168.00,"03","Meteorological sequences common to vertical soundings data","D03041","(Wind sequence)",,"B07004","Pressure","Pressure",,"Operational"
1169.00,"03","Meteorological sequences common to vertical soundings data","D03041","(Wind sequence)",,"B11001","Wind direction","Wind direction",,"Operational"
1170.00,"03","Meteorological sequences common to vertical soundings data","D03041","(Wind sequence)",,"B11002","Wind speed","Wind speed",,"Operational"
1171.00,"03","Meteorological sequences common to vertical soundings data","D03041","(Wind sequence)",,"B02153","Satellite channel centre frequency","Satellite channel centre frequency",,"Operational"
1172.00,"03","Meteorological sequences common to vertical soundings data","D03041","(Wind sequence)",,"B02154","Satellite channel band width","Satellite channel band width",,"Operational"
1173.00,"03","Meteorological sequences common to vertical soundings data","D03041","(Wind sequence)",,"B12071","Coldest cluster temperature","Coldest cluster T",,"Operational"
1174.00,"03","Meteorological sequences common to vertical soundings data","D03050","(Wind data at a pressure level with radiosonde position)",,"B04086","Long time period or displacement","Long time period or displacement (since launch time)",,"Operational"
1175.00,"03","Meteorological sequences common to vertical soundings data","D03050","(Wind data at a pressure level with radiosonde position)",,"B08042","Extended vertical sounding significance","Extended vertical sounding significance",,"Operational"
1176.00,"03","Meteorological sequences common to vertical soundings data","D03050","(Wind data at a pressure level with radiosonde position)",,"B07004","Pressure","Pressure",,"Operational"
1177.00,"03","Meteorological sequences common to vertical soundings data","D03050","(Wind data at a pressure level with radiosonde position)",,"B05015","Latitude displacement (high accuracy)","Latitude displacement since launch site (high accuracy)",,"Operational"
1178.00,"03","Meteorological sequences common to vertical soundings data","D03050","(Wind data at a pressure level with radiosonde position)",,"B06015","Longitude displacement (high accuracy)","Longitude displacement since launch site (high accuracy)",,"Operational"
1179.00,"03","Meteorological sequences common to vertical soundings data","D03050","(Wind data at a pressure level with radiosonde position)",,"B11001","Wind direction","Wind direction",,"Operational"
1180.00,"03","Meteorological sequences common to vertical soundings data","D03050","(Wind data at a pressure level with radiosonde position)",,"B11002","Wind speed","Wind speed",,"Operational"
1181.00,"03","Meteorological sequences common to vertical soundings data","D03051","(Wind shear data at a pressure level with radiosonde position)",,"B04086","Long time period or displacement","Long time period or displacement (since launch time)",,"Operational"
1182.00,"03","Meteorological sequences common to vertical soundings data","D03051","(Wind shear data at a pressure level with radiosonde position)",,"B08042","Extended vertical sounding significance","Extended vertical sounding significance",,"Operational"
1183.00,"03","Meteorological sequences common to vertical soundings data","D03051","(Wind shear data at a pressure level with radiosonde position)",,"B07004","Pressure","Pressure",,"Operational"
1184.00,"03","Meteorological sequences common to vertical soundings data","D03051","(Wind shear data at a pressure level with radiosonde position)",,"B05015","Latitude displacement (high accuracy)","Latitude displacement since launch site (high accuracy)",,"Operational"
1185.00,"03","Meteorological sequences common to vertical soundings data","D03051","(Wind shear data at a pressure level with radiosonde position)",,"B06015","Longitude displacement (high accuracy)","Longitude displacement since launch site (high accuracy)",,"Operational"
1186.00,"03","Meteorological sequences common to vertical soundings data","D03051","(Wind shear data at a pressure level with radiosonde position)",,"B11061","Absolute wind shear in 1 km layer below","Absolute wind shear in 1 km layer below",,"Operational"
1187.00,"03","Meteorological sequences common to vertical soundings data","D03051","(Wind shear data at a pressure level with radiosonde position)",,"B11062","Absolute wind shear in 1 km layer above","Absolute wind shear in 1 km layer above",,"Operational"
1188.00,"03","Meteorological sequences common to vertical soundings data","D03052","(Wind data at a height level with radiosonde position)",,"B04086","Long time period or displacement","Long time period or displacement (since launch time)",,"Operational"
1189.00,"03","Meteorological sequences common to vertical soundings data","D03052","(Wind data at a height level with radiosonde position)",,"B08042","Extended vertical sounding significance","Extended vertical sounding significance",,"Operational"
1190.00,"03","Meteorological sequences common to vertical soundings data","D03052","(Wind data at a height level with radiosonde position)",,"B07009","Geopotential height","Geopotential height",,"Operational"
1191.00,"03","Meteorological sequences common to vertical soundings data","D03052","(Wind data at a height level with radiosonde position)",,"B05015","Latitude displacement (high accuracy)","Latitude displacement since launch site (high accuracy)",,"Operational"
1192.00,"03","Meteorological sequences common to vertical soundings data","D03052","(Wind data at a height level with radiosonde position)",,"B06015","Longitude displacement (high accuracy)","Longitude displacement since launch site (high accuracy)",,"Operational"
1193.00,"03","Meteorological sequences common to vertical soundings data","D03052","(Wind data at a height level with radiosonde position)",,"B11001","Wind direction","Wind direction",,"Operational"
1194.00,"03","Meteorological sequences common to vertical soundings data","D03052","(Wind data at a height level with radiosonde position)",,"B11002","Wind speed","Wind speed",,"Operational"
1195.00,"03","Meteorological sequences common to vertical soundings data","D03053","(Wind shear data at a height level with radiosonde position)",,"B04086","Long time period or displacement","Long time period or displacement (since launch time)",,"Operational"
1196.00,"03","Meteorological sequences common to vertical soundings data","D03053","(Wind shear data at a height level with radiosonde position)",,"B08042","Extended vertical sounding significance","Extended vertical sounding significance",,"Operational"
1197.00,"03","Meteorological sequences common to vertical soundings data","D03053","(Wind shear data at a height level with radiosonde position)",,"B07009","Geopotential height","Geopotential height",,"Operational"
1198.00,"03","Meteorological sequences common to vertical soundings data","D03053","(Wind shear data at a height level with radiosonde position)",,"B05015","Latitude displacement (high accuracy)","Latitude displacement since launch site (high accuracy)",,"Operational"
1199.00,"03","Meteorological sequences common to vertical soundings data","D03053","(Wind shear data at a height level with radiosonde position)",,"B06015","Longitude displacement (high accuracy)","Longitude displacement since launch site (high accuracy)",,"Operational"
1200.00,"03","Meteorological sequences common to vertical soundings data","D03053","(Wind shear data at a height level with radiosonde position)",,"B11061","Absolute wind shear in 1 km layer below","Absolute wind shear in 1 km layer below",,"Operational"
1201.00,"03","Meteorological sequences common to vertical soundings data","D03053","(Wind shear data at a height level with radiosonde position)",,"B11062","Absolute wind shear in 1 km layer above","Absolute wind shear in 1 km layer above",,"Operational"
1202.00,"03","Meteorological sequences common to vertical soundings data","D03054","(Temperature, dewpoint and wind data at a pressure level with radiosonde position)",,"B04086","Long time period or displacement","Long time period or displacement (since launch time)",,"Operational"
1203.00,"03","Meteorological sequences common to vertical soundings data","D03054","(Temperature, dewpoint and wind data at a pressure level with radiosonde position)",,"B08042","Extended vertical sounding significance","Extended vertical sounding significance",,"Operational"
1204.00,"03","Meteorological sequences common to vertical soundings data","D03054","(Temperature, dewpoint and wind data at a pressure level with radiosonde position)",,"B07004","Pressure","Pressure",,"Operational"
1205.00,"03","Meteorological sequences common to vertical soundings data","D03054","(Temperature, dewpoint and wind data at a pressure level with radiosonde position)",,"B10009","Geopotential height","Geopotential height",,"Operational"
1206.00,"03","Meteorological sequences common to vertical soundings data","D03054","(Temperature, dewpoint and wind data at a pressure level with radiosonde position)",,"B05015","Latitude displacement (high accuracy)","Latitude displacement since launch site (high accuracy)",,"Operational"
1207.00,"03","Meteorological sequences common to vertical soundings data","D03054","(Temperature, dewpoint and wind data at a pressure level with radiosonde position)",,"B06015","Longitude displacement (high accuracy)","Longitude displacement since launch site (high accuracy)",,"Operational"
1208.00,"03","Meteorological sequences common to vertical soundings data","D03054","(Temperature, dewpoint and wind data at a pressure level with radiosonde position)",,"B12101","Temperature/air temperature","Temperature/air temperature (scale 2)",,"Operational"
1209.00,"03","Meteorological sequences common to vertical soundings data","D03054","(Temperature, dewpoint and wind data at a pressure level with radiosonde position)",,"B12103","Dewpoint temperature","Dew-point temperature (scale 2)",,"Operational"
1210.00,"03","Meteorological sequences common to vertical soundings data","D03054","(Temperature, dewpoint and wind data at a pressure level with radiosonde position)",,"B11001","Wind direction","Wind direction",,"Operational"
1211.00,"03","Meteorological sequences common to vertical soundings data","D03054","(Temperature, dewpoint and wind data at a pressure level with radiosonde position)",,"B11002","Wind speed","Wind speed",,"Operational"
1212.00,"03","Meteorological sequences common to vertical soundings data","D03055","(Temperature, dewpoint, relative humidity and wind data at a height level with radiosonde position)",,"B04086","Long time period or displacement","Long time period or displacement (since launch time)",,"Operational"
1213.00,"03","Meteorological sequences common to vertical soundings data","D03055","(Temperature, dewpoint, relative humidity and wind data at a height level with radiosonde position)",,"B08042","Extended vertical sounding significance","Extended vertical sounding significance",,"Operational"
1214.00,"03","Meteorological sequences common to vertical soundings data","D03055","(Temperature, dewpoint, relative humidity and wind data at a height level with radiosonde position)",,"B07009","Geopotential height","Geopotential height",,"Operational"
1215.00,"03","Meteorological sequences common to vertical soundings data","D03055","(Temperature, dewpoint, relative humidity and wind data at a height level with radiosonde position)",,"B05015","Latitude displacement (high accuracy)","Latitude displacement since launch site (high accuracy)",,"Operational"
1216.00,"03","Meteorological sequences common to vertical soundings data","D03055","(Temperature, dewpoint, relative humidity and wind data at a height level with radiosonde position)",,"B06015","Longitude displacement (high accuracy)","Longitude displacement since launch site (high accuracy)",,"Operational"
1217.00,"03","Meteorological sequences common to vertical soundings data","D03055","(Temperature, dewpoint, relative humidity and wind data at a height level with radiosonde position)",,"B12101","Temperature/air temperature","Temperature/air temperature (scale 2)",,"Operational"
1218.00,"03","Meteorological sequences common to vertical soundings data","D03055","(Temperature, dewpoint, relative humidity and wind data at a height level with radiosonde position)",,"B13009","Relative humidity","Relative humidity",,"Operational"
1219.00,"03","Meteorological sequences common to vertical soundings data","D03055","(Temperature, dewpoint, relative humidity and wind data at a height level with radiosonde position)",,"B12103","Dewpoint temperature","Dew-point temperature (scale 2)",,"Operational"
1220.00,"03","Meteorological sequences common to vertical soundings data","D03055","(Temperature, dewpoint, relative humidity and wind data at a height level with radiosonde position)",,"B11001","Wind direction","Wind direction",,"Operational"
1221.00,"03","Meteorological sequences common to vertical soundings data","D03055","(Temperature, dewpoint, relative humidity and wind data at a height level with radiosonde position)",,"B11002","Wind speed","Wind speed",,"Operational"
1340.00,"05","Meteorological or hydrological sequences common to hydrological observations","D05001","(SADC-HYCOS single measurement)",,"B11001","Wind direction","Wind direction",,"Operational"
1341.00,"05","Meteorological or hydrological sequences common to hydrological observations","D05001","(SADC-HYCOS single measurement)",,"B11002","Wind speed","Wind speed",,"Operational"
1342.00,"05","Meteorological or hydrological sequences common to hydrological observations","D05001","(SADC-HYCOS single measurement)",,"B13060","Total accumulated precipitation","Total accumulated precipitation",,"Operational"
1343.00,"05","Meteorological or hydrological sequences common to hydrological observations","D05001","(SADC-HYCOS single measurement)",,"B13071","Upstream water level","Upstream water level",,"Operational"
1344.00,"05","Meteorological or hydrological sequences common to hydrological observations","D05002","(SADC-HYCOS environmental measurement)",,"D01012","Hour, minute","Hour, minute of environmental measurement",,"Operational"
1345.00,"05","Meteorological or hydrological sequences common to hydrological observations","D05002","(SADC-HYCOS environmental measurement)",,"B12001","Temperature/air temperature","Air temperature",,"Operational"
1346.00,"05","Meteorological or hydrological sequences common to hydrological observations","D05002","(SADC-HYCOS environmental measurement)",,"B13003","Relative humidity","Relative humidity",,"Operational"
1347.00,"05","Meteorological or hydrological sequences common to hydrological observations","D05002","(SADC-HYCOS environmental measurement)",,"B14051","Direct solar radiation integrated over last hour","Direct solar radiation integrated over last hour",,"Operational"
1348.00,"05","Meteorological or hydrological sequences common to hydrological observations","D05002","(SADC-HYCOS environmental measurement)",,"B13060","Total accumulated precipitation","Total accumulated precipitation",,"Operational"
1349.00,"05","Meteorological or hydrological sequences common to hydrological observations","D05002","(SADC-HYCOS environmental measurement)",,"B13072","Downstream water level","Downstream water level",,"Operational"
1350.00,"05","Meteorological or hydrological sequences common to hydrological observations","D05002","(SADC-HYCOS environmental measurement)",,"B13080","Water pH","pH",,"Operational"
1351.00,"05","Meteorological or hydrological sequences common to hydrological observations","D05002","(SADC-HYCOS environmental measurement)",,"B13081","Water conductivity","Conductivity",,"Operational"
1352.00,"05","Meteorological or hydrological sequences common to hydrological observations","D05002","(SADC-HYCOS environmental measurement)",,"B13082","Water temperature","Water temperature",,"Operational"
1353.00,"05","Meteorological or hydrological sequences common to hydrological observations","D05002","(SADC-HYCOS environmental measurement)",,"B13083","Dissolved oxygen","Dissolved oxygen",,"Operational"
1354.00,"05","Meteorological or hydrological sequences common to hydrological observations","D05002","(SADC-HYCOS environmental measurement)",,"B13084","Turbidity","Turbidity",,"Operational"
1360.00,"05","Meteorological or hydrological sequences common to hydrological observations","D05003","(SADC-HYCOS measurement array definition)",,"D01012","Hour, minute","Hour, minute of first single measurement minus increment",,"Operational"
1361.00,"05","Meteorological or hydrological sequences common to hydrological observations","D05003","(SADC-HYCOS measurement array definition)",,"B04065","Short time increment","Short time increment - time interval between measurements",,"Operational"
1362.00,"05","Meteorological or hydrological sequences common to hydrological observations","D05003","(SADC-HYCOS measurement array definition)",,"R01000","Delayed replication of 1 descriptor","Delayed replication n times of next descriptor",,"Operational"
1363.00,"05","Meteorological or hydrological sequences common to hydrological observations","D05003","(SADC-HYCOS measurement array definition)",,"D05001","SADC-HYCOS single measurement","Single measurement",,"Operational"
1364.00,"05","Meteorological or hydrological sequences common to hydrological observations","D05004","(SADC-HYCOS report)",,"D01030","Identification - with physical location","Identification",,"Operational"
1365.00,"05","Meteorological or hydrological sequences common to hydrological observations","D05004","(SADC-HYCOS report)",,"D05002","SADC-HYCOS environmental measurement","Environmental measurement",,"Operational"
1366.00,"05","Meteorological or hydrological sequences common to hydrological observations","D05004","(SADC-HYCOS report)",,"D05003","SADC-HYCOS measurement array definition","Measurement array",,"Operational"
1373.00,"05","Meteorological or hydrological sequences common to hydrological observations","D05006","(MEDHYCOS measurement)",,"B13072","Downstream water level","Downstream water level",,"Operational"
1374.00,"05","Meteorological or hydrological sequences common to hydrological observations","D05006","(MEDHYCOS measurement)",,"B13082","Water temperature","Water temperature",,"Operational"
1375.00,"05","Meteorological or hydrological sequences common to hydrological observations","D05006","(MEDHYCOS measurement)",,"B13019","Total precipitation past 1 hour","Precipitation last hour",,"Operational"
1376.00,"05","Meteorological or hydrological sequences common to hydrological observations","D05006","(MEDHYCOS measurement)",,"C07005","Units replacement","Next datum in kelvin",,"Operational"
1377.00,"05","Meteorological or hydrological sequences common to hydrological observations","D05006","(MEDHYCOS measurement)",,"C01004","Data width replacement","Next datum over four characters",,"Operational"
1378.00,"05","Meteorological or hydrological sequences common to hydrological observations","D05006","(MEDHYCOS measurement)",,"B12001","Temperature/air temperature","Air temperature",,"Operational"
1379.00,"05","Meteorological or hydrological sequences common to hydrological observations","D05006","(MEDHYCOS measurement)",,"B13073","Maximum water level","Maximum water height observed",,"Operational"
1380.00,"05","Meteorological or hydrological sequences common to hydrological observations","D05006","(MEDHYCOS measurement)",,"B13060","Total accumulated precipitation","Total accumulated precipitation",,"Operational"
1387.00,"05","Meteorological or hydrological sequences common to hydrological observations","D05007","(MEDHYCOS report)",,"D01029","Identification","Identification",,"Operational"
1388.00,"05","Meteorological or hydrological sequences common to hydrological observations","D05007","(MEDHYCOS report)",,"D01012","Hour, minute","Hour, minute (time of first measurement)",,"Operational"
1389.00,"05","Meteorological or hydrological sequences common to hydrological observations","D05007","(MEDHYCOS report)",,"B04065","Short time increment","Short time increment - time interval between measurements",,"Operational"
